Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,68.3,67.2,61.11,74.96,79.58,77.84,70.95,67.49,70.24
1901,68.34,66.42,60.73,76.66,80.56,76.24,71.42,68.14,70.71
1902,64.16,62.93,59.5,72.29,80.63,75.87,70.31,63.86,69.74
1903,62.95,63.62,60.91,71.18,77.82,74.49,69.91,62.95,69.86
1904,65.23,63.28,61.39,71.18,78.01,74.51,69.06,63.32,70.55
1905,65.73,64.31,61.68,73.07,79.13,75.32,70.0,64.95,70.23
1906,67.34,63.8,62.19,73.12,78.56,75.97,68.75,65.77,70.46
1907,64.54,63.2,59.24,71.8,79.21,74.03,68.32,64.36,67.49
1908,66.91,63.43,61.09,72.8,78.77,74.7,68.78,65.16,69.82
1909,65.39,66.19,60.52,73.39,80.05,74.67,70.83,66.69,70.3
1910,65.54,65.7,60.78,71.96,78.27,74.05,71.54,66.74,70.7
1911,67.34,64.89,61.06,74.46,79.6,76.58,69.72,66.61,69.7
1912,64.38,63.35,59.96,71.82,78.28,74.5,68.63,63.66,68.47
1913,66.02,66.29,61.24,75.72,79.87,75.44,69.48,66.72,69.24
1914,65.48,65.96,61.5,75.68,81.02,76.47,69.69,66.16,70.0
1915,64.73,61.08,61.69,69.84,78.28,74.45,68.61,61.38,70.29
1916,66.49,64.64,59.59,73.88,79.09,74.52,69.48,66.89,68.78
1917,66.69,64.64,61.7,71.49,78.5,74.72,70.35,63.7,72.0
1918,65.62,66.07,62.49,74.36,80.12,74.41,71.11,65.58,71.78
1919,67.03,68.16,62.25,74.63,79.14,74.91,70.72,67.85,71.74
1920,65.92,65.06,61.69,71.6,77.75,74.19,69.12,65.02,70.15
1921,67.54,67.69,61.98,75.62,80.1,75.91,69.79,69.68,71.56
1922,66.47,66.68,63.56,73.53,79.21,74.95,71.72,66.29,71.62
1923,65.46,65.66,61.58,73.48,78.86,75.59,69.28,66.9,68.37
1924,65.07,63.31,61.39,71.77,80.33,75.2,71.04,63.09,70.83
1925,66.52,65.39,62.27,74.15,80.74,76.69,69.99,66.03,70.57
1926,64.84,65.68,63.58,72.75,78.95,75.99,70.44,64.3,72.65
1927,63.43,63.18,62.04,69.66,78.39,73.06,69.53,62.66,70.64
1928,66.52,62.96,61.34,71.98,78.79,75.53,69.53,64.34,70.63
1929,65.15,66.63,62.27,71.8,78.96,73.91,70.5,65.07,71.28
1930,67.12,67.33,62.2,74.41,79.83,75.36,70.6,67.6,71.1
1931,67.57,68.54,63.35,74.99,79.42,76.31,71.7,68.44,73.39
1932,66.32,66.97,61.17,74.42,80.47,76.6,70.27,67.85,70.37
1933,67.31,68.97,62.89,74.99,79.34,75.75,71.85,69.24,72.02
1934,67.11,67.97,62.78,77.73,81.65,77.54,72.09,67.25,71.03
1935,67.48,66.6,61.69,73.59,79.56,75.84,71.27,66.8,71.43
1936,66.81,71.0,63.62,77.63,81.36,76.62,72.4,68.3,72.4
1937,68.59,67.75,61.95,74.26,80.08,76.25,71.39,68.3,71.81
1938,68.04,67.07,62.58,74.1,79.44,75.27,70.72,67.31,71.04
1939,67.84,66.23,62.1,73.88,79.71,76.41,71.15,67.33,71.8
1940,65.74,67.83,64.06,73.58,78.12,75.33,71.89,66.07,72.69
1941,66.62,66.66,62.27,74.48,79.59,76.06,68.51,67.32,69.18
1942,66.75,64.7,61.96,73.53,79.21,76.43,70.46,65.49,71.24
1943,68.09,65.82,60.06,75.63,81.52,77.49,70.86,67.78,68.71
1944,68.13,63.95,60.49,74.73,80.02,75.7,69.58,66.87,68.0
1945,66.28,63.76,61.73,71.59,78.51,75.31,69.6,63.85,70.42
1946,64.93,65.75,61.87,72.01,78.38,73.75,71.47,65.22,70.91
1947,67.48,65.75,60.48,73.54,78.98,74.47,70.06,67.13,68.98
1948,66.7,65.62,61.07,73.19,79.46,75.61,70.51,66.66,69.24
1949,69.71,66.63,61.43,74.88,79.12,76.27,69.82,68.83,70.23
1950,65.7,62.88,61.66,70.45,77.54,74.42,69.22,63.75,70.69
1951,66.09,62.48,61.54,72.33,80.26,75.98,70.27,63.69,70.54
1952,68.55,66.15,61.48,75.79,81.63,77.54,71.31,66.85,69.97
1953,67.03,66.39,60.33,75.44,80.3,76.13,71.46,67.37,69.6
1954,65.71,66.04,59.22,75.71,82.03,76.57,71.13,66.47,69.48
1955,68.95,66.7,61.02,74.06,78.35,75.16,69.8,69.5,70.05
1956,65.42,66.4,61.37,73.37,79.68,75.57,70.97,66.02,69.93
1957,66.41,66.05,60.92,73.66,79.24,75.25,70.71,66.43,70.94
1958,64.9,64.42,64.57,71.65,79.09,75.47,71.83,63.77,71.55
1959,68.12,67.29,62.13,74.14,78.71,75.86,71.8,68.35,72.79
1960,66.02,66.27,62.74,72.44,79.07,75.31,71.76,65.6,73.09
1961,66.56,68.47,65.85,71.75,76.92,74.31,71.54,66.82,73.5
1962,65.44,64.28,60.56,72.67,79.32,74.19,70.09,65.0,70.21
1963,66.0,67.05,60.54,72.46,79.3,74.13,70.8,66.93,68.63
1964,65.55,65.34,60.29,73.17,79.17,74.49,70.53,66.18,70.0
1965,65.22,64.58,61.37,71.95,78.33,74.03,68.76,64.39,68.72
1966,67.17,65.88,61.13,73.06,78.21,74.36,71.1,67.01,71.1
1967,67.15,64.68,64.36,70.73,76.75,72.9,69.58,64.54,71.76
1968,66.32,64.22,61.5,73.35,78.67,75.63,69.31,65.55,70.41
1969,66.82,64.97,62.0,72.92,79.37,75.5,71.05,64.91,71.22
1970,67.12,67.68,63.68,72.81,78.62,75.32,71.09,67.74,72.09
1971,66.42,66.36,62.35,72.73,78.42,74.71,70.79,65.77,71.59
1972,65.52,65.05,62.68,71.59,78.02,73.23,70.53,64.88,71.93
1973,68.88,66.58,62.19,73.85,78.61,75.46,69.98,67.65,71.63
1974,66.22,66.0,62.75,71.72,77.41,73.48,70.85,65.84,71.58
1975,67.56,65.41,60.97,73.73,78.23,75.13,69.36,67.16,69.79
1976,66.52,66.45,59.8,71.68,77.24,73.64,69.82,67.74,69.15
1977,66.0,65.96,63.63,73.52,80.28,76.18,72.09,65.4,72.42
1978,66.6,64.99,61.65,73.35,79.88,75.56,71.13,65.76,70.74
1979,66.2,65.51,62.58,72.04,78.11,73.54,69.69,65.06,70.52
1980,66.91,66.15,59.9,75.38,81.63,76.31,71.91,66.53,69.83
1981,66.79,65.89,61.92,73.16,80.02,75.9,72.04,66.3,73.33
1982,64.72,64.89,62.04,71.25,78.75,74.49,70.05,64.23,69.83
1983,68.04,67.67,60.95,75.66,79.38,76.02,70.14,69.27,69.35
1984,67.41,67.0,61.7,73.56,78.44,74.94,70.11,67.52,71.43
1985,65.24,64.8,63.24,71.47,78.83,74.51,71.47,63.82,72.73
1986,65.4,66.39,63.61,73.49,80.06,76.8,70.93,65.57,72.2
1987,67.41,65.83,62.08,74.97,79.81,77.27,70.17,68.38,70.79
1988,68.27,70.04,63.11,75.31,79.32,75.86,71.68,70.18,72.42
1989,66.9,66.56,62.03,72.56,77.86,75.49,70.88,66.82,71.01
1990,67.24,66.42,63.24,72.63,79.72,76.01,71.35,66.34,71.7
1991,68.25,67.41,62.25,74.85,79.21,76.19,70.13,68.22,70.54
1992,64.51,62.43,63.69,70.14,77.18,74.05,69.33,62.03,71.4
1993,67.61,61.44,58.0,74.09,80.43,77.21,69.62,65.35,68.91
1994,67.97,66.08,63.72,72.93,78.46,75.67,73.72,65.48,73.47
1995,68.92,65.89,60.66,75.15,79.5,76.17,70.52,69.33,69.83
1996,66.87,66.5,63.44,72.43,78.5,74.97,72.62,65.93,73.63
1997,66.27,66.21,62.06,72.03,78.13,74.11,70.69,66.02,70.87
1998,67.16,65.97,64.1,73.79,81.71,76.85,71.06,66.99,71.2
1999,68.77,65.77,61.47,74.43,80.15,76.46,70.39,67.64,70.04
2000,65.5,67.09,63.11,72.75,80.12,75.22,73.0,65.73,72.48
2001,67.69,67.81,62.82,73.38,79.38,75.23,72.57,67.97,72.73
2002,68.43,67.79,63.44,75.41,79.5,77.06,73.75,68.67,73.13
2003,67.43,68.05,65.55,72.59,78.77,75.34,73.25,67.06,73.91
2004,65.99,63.44,64.08,70.8,77.81,75.14,70.41,63.34,72.34
2005,69.92,66.49,62.58,75.43,79.95,76.95,71.29,68.92,71.88
2006,68.26,68.97,64.55,74.22,80.68,76.46,72.89,68.47,73.91
2007,67.36,68.76,64.41,74.67,80.15,76.81,73.08,68.11,73.66
2008,67.65,65.77,62.33,73.0,79.46,76.31,71.83,66.35,73.18
2009,66.08,63.49,63.35,71.52,79.22,75.78,71.0,63.75,71.49
2010,69.32,65.97,61.18,76.33,82.34,78.93,72.13,68.66,71.52
2011,68.71,66.76,61.1,75.8,82.95,78.16,73.26,68.32,70.8
2012,68.82,69.27,63.24,75.47,80.09,76.11,73.81,69.35,72.88
2013,67.98,67.04,64.94,72.49,78.77,75.23,73.09,66.73,73.8
2014,66.92,65.1,64.3,72.4,78.63,75.09,71.67,66.05,73.3
2015,67.22,67.07,66.24,72.88,80.18,77.1,72.37,66.26,73.75
2016,69.24,67.52,63.57,75.51,81.19,78.18,73.16,68.15,73.99
2017,66.92,67.54,65.61,72.83,78.96,76.04,73.01,66.18,74.96
