Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,41.42,44.6,45.8,51.33,62.52,56.7,50.69,41.54,52.42
1901,43.13,43.61,42.86,50.53,60.7,55.77,49.25,41.62,50.89
1902,45.26,41.86,41.88,53.37,63.96,58.01,49.7,43.4,49.26
1903,47.18,39.78,41.35,54.63,62.89,59.46,48.43,43.03,49.97
1904,42.83,39.96,42.81,50.12,62.55,56.43,51.27,38.33,51.71
1905,43.27,42.2,44.49,53.93,65.02,59.4,49.22,40.66,50.87
1906,41.34,39.7,42.85,50.39,61.47,56.58,48.94,39.24,49.71
1907,40.78,38.62,43.14,50.29,63.11,56.69,49.95,35.78,50.77
1908,44.17,41.43,42.38,54.25,66.33,60.91,49.7,41.14,50.39
1909,42.12,38.3,41.79,50.59,62.44,56.97,47.28,37.52,49.96
1910,46.43,47.51,47.15,54.05,63.68,59.12,53.43,45.22,55.24
1911,43.56,43.37,41.92,53.09,64.34,56.88,51.08,43.37,50.01
1912,42.52,38.09,41.77,50.76,62.28,57.97,47.19,38.98,48.52
1913,45.13,40.06,42.13,51.68,62.21,58.61,48.8,39.43,50.33
1914,42.48,42.34,45.55,51.51,61.53,56.2,50.76,40.69,53.42
1915,42.78,41.66,45.72,50.75,60.47,55.5,48.22,41.77,51.34
1916,41.03,40.92,42.44,51.19,62.62,57.31,50.79,38.2,52.08
1917,40.5,36.33,38.17,49.51,61.4,56.28,44.97,37.54,46.67
1918,45.51,42.61,42.62,54.41,64.47,59.43,49.64,43.02,50.42
1919,44.28,41.14,43.58,51.89,62.34,58.16,49.95,40.95,51.93
1920,42.23,37.79,40.64,50.33,61.85,55.46,47.13,38.75,49.63
1921,48.86,42.42,43.01,56.38,64.86,60.52,49.94,44.58,50.97
1922,45.28,40.77,39.76,54.26,63.97,59.06,47.61,43.21,48.61
1923,41.03,39.56,42.35,50.12,61.85,56.95,48.19,37.12,50.8
1924,41.2,38.36,43.93,48.69,59.75,55.06,47.2,37.83,51.93
1925,43.95,44.61,45.48,53.33,64.44,58.11,52.6,42.56,52.66
1926,39.04,43.57,46.79,48.53,59.88,54.83,49.91,38.49,55.04
1927,43.42,40.35,41.37,53.04,64.86,58.23,50.08,41.44,50.67
1928,41.43,42.78,44.95,50.44,61.48,55.85,50.68,39.57,53.67
1929,45.03,40.93,42.08,53.92,64.72,59.66,48.6,41.48,50.36
1930,43.48,42.75,44.76,52.85,62.66,57.67,49.78,41.8,51.51
1931,44.5,41.78,44.99,49.52,58.96,54.74,49.3,41.46,54.47
1932,41.82,40.71,43.1,50.3,61.54,55.92,49.22,38.61,51.48
1933,44.03,41.23,41.03,52.45,63.85,58.74,47.56,40.77,48.88
1934,43.52,46.88,49.82,52.16,62.52,56.86,55.02,41.55,57.92
1935,42.61,38.94,41.53,51.98,64.49,58.67,48.5,39.71,49.54
1936,45.47,42.96,45.07,53.36,63.91,58.57,51.92,40.71,53.86
1937,42.4,41.74,43.32,50.47,61.74,56.42,49.69,39.42,51.4
1938,45.07,42.76,43.28,55.17,65.25,60.16,49.76,43.31,50.09
1939,42.21,44.33,45.66,52.64,63.24,58.45,51.43,40.8,53.61
1940,40.73,42.22,46.57,49.41,61.28,55.45,51.97,37.36,54.44
1941,44.02,43.56,45.72,52.66,61.89,57.0,48.58,43.39,51.3
1942,47.23,42.05,42.64,53.96,62.56,59.28,48.33,44.21,49.44
1943,41.42,39.93,42.86,50.11,62.49,57.2,51.54,37.63,53.21
1944,43.35,39.98,42.64,51.99,62.82,58.33,47.36,39.85,49.71
1945,47.46,40.62,42.2,54.38,64.81,61.17,48.28,42.47,49.29
1946,46.31,45.25,44.63,55.63,64.81,59.88,51.71,44.88,52.14
1947,42.18,39.8,46.59,48.84,60.77,56.05,50.53,37.39,54.29
1948,43.94,40.84,41.06,53.33,64.56,59.93,48.7,41.01,48.47
1949,44.93,43.36,45.37,52.15,62.53,57.48,50.21,41.91,51.82
1950,41.08,36.9,41.22,49.67,61.57,56.43,49.87,35.73,51.76
1951,44.78,37.69,42.59,50.67,61.86,56.84,49.09,39.77,51.67
1952,43.79,40.76,43.01,51.33,61.64,57.67,48.28,41.08,50.33
1953,45.52,39.64,41.92,52.35,64.04,59.73,48.44,40.57,49.0
1954,43.8,39.36,42.89,51.82,62.5,57.59,51.45,38.86,52.85
1955,45.91,41.03,38.7,54.89,65.38,60.44,48.59,43.34,48.94
1956,40.16,40.45,44.07,51.79,63.1,56.95,50.62,37.87,51.51
1957,45.03,40.83,44.33,52.55,62.66,58.69,48.2,40.95,50.84
1958,43.93,41.97,44.46,50.43,60.95,55.94,48.66,42.6,50.75
1959,44.85,41.59,42.69,53.38,62.79,58.6,50.01,42.25,52.98
1960,42.57,40.01,42.77,47.61,59.35,54.14,50.76,38.15,52.62
1961,42.1,41.79,43.36,49.86,61.81,55.91,49.86,40.45,51.06
1962,44.54,41.01,42.45,52.49,62.16,57.19,49.42,41.46,50.7
1963,43.56,43.55,43.11,53.67,65.16,58.76,50.63,42.33,49.61
1964,44.83,40.59,40.44,53.69,63.65,57.95,47.43,42.19,48.83
1965,43.16,37.71,42.31,51.76,62.81,57.83,47.44,38.5,49.96
1966,42.47,41.79,44.27,50.87,62.05,56.11,51.36,40.02,53.99
1967,40.24,40.06,41.23,52.72,65.04,57.79,50.28,39.37,48.4
1968,44.85,41.96,43.45,52.06,61.79,57.27,48.44,43.38,51.55
1969,43.34,41.36,43.98,50.75,60.52,56.02,49.35,40.55,51.67
1970,43.66,38.83,41.48,52.45,62.72,57.88,47.61,39.65,50.19
1971,41.58,41.12,41.75,49.73,60.24,54.87,48.72,39.46,49.31
1972,41.8,42.7,43.87,52.06,63.13,56.43,52.41,39.84,53.77
1973,45.76,42.12,43.72,53.02,62.41,57.88,47.04,43.45,51.05
1974,43.57,42.01,42.33,53.87,64.91,59.36,51.87,40.16,51.75
1975,42.88,37.71,39.96,50.83,62.18,56.88,46.51,38.78,47.78
1976,45.12,42.52,41.82,53.34,62.51,58.79,49.21,42.45,50.76
1977,47.34,45.54,42.64,57.11,64.87,60.52,49.01,48.43,49.07
1978,42.19,42.08,43.86,50.15,62.08,56.4,50.79,40.84,51.91
1979,45.76,39.81,44.17,51.59,62.55,58.22,49.06,38.79,51.99
1980,44.27,43.15,44.02,50.45,61.29,56.86,47.74,42.02,50.18
1981,45.38,45.31,44.3,52.59,62.81,56.95,51.1,43.78,52.6
1982,43.56,40.02,41.57,52.48,63.33,58.04,49.38,41.01,50.22
1983,44.18,40.15,44.08,49.95,59.57,56.0,47.07,40.19,49.81
1984,41.38,40.87,42.57,48.45,61.19,55.63,49.89,39.6,52.96
1985,45.85,45.44,43.55,55.53,64.54,59.76,51.41,45.95,52.32
1986,46.59,45.04,45.29,54.78,63.57,58.65,52.32,44.81,53.89
1987,46.4,46.13,47.02,55.17,62.95,57.23,50.02,47.02,54.02
1988,44.64,44.89,44.58,52.72,61.88,56.96,49.91,44.08,52.49
1989,43.21,41.83,44.45,51.42,62.8,56.66,54.29,39.65,54.92
1990,44.88,42.91,45.4,52.42,62.9,58.86,51.41,42.71,53.75
1991,48.04,43.58,41.86,56.72,65.48,60.9,49.03,45.61,48.55
1992,42.47,45.99,49.05,52.07,61.93,55.95,52.89,41.83,56.38
1993,43.71,42.98,45.25,50.51,60.02,56.03,51.17,40.53,53.91
1994,43.56,45.28,46.7,51.99,63.11,58.26,52.03,42.9,54.04
1995,44.1,39.62,43.64,52.31,63.73,59.1,48.73,40.85,50.12
1996,42.36,38.72,43.37,49.74,61.57,56.42,52.24,37.06,53.59
1997,41.73,40.4,44.66,50.1,62.24,56.82,51.34,38.6,55.39
1998,47.77,42.56,43.88,54.05,62.9,58.64,48.93,45.73,48.95
1999,45.45,42.94,41.86,52.59,63.04,57.28,50.04,44.59,50.12
2000,46.62,45.16,45.06,54.8,64.32,59.71,53.7,45.64,54.45
2001,44.25,43.67,44.91,53.5,62.95,57.59,52.5,42.95,54.73
2002,44.86,37.89,42.53,51.72,63.51,59.32,51.93,38.45,52.23
2003,43.26,43.06,44.21,53.39,64.08,58.46,51.66,41.35,51.79
2004,46.84,44.84,46.53,55.55,64.53,60.53,53.74,43.11,55.94
2005,42.7,43.46,45.39,51.73,61.55,55.81,50.75,42.18,52.32
2006,45.83,44.65,44.23,54.14,65.16,58.55,52.58,45.3,51.25
2007,44.03,45.47,46.09,55.54,64.11,58.88,52.66,44.6,55.4
2008,44.22,40.5,41.58,51.15,62.72,57.93,49.63,39.65,51.79
2009,45.61,41.02,43.08,53.47,63.05,58.25,52.11,41.76,53.51
2010,49.51,43.41,42.24,55.72,63.27,60.02,49.33,47.87,49.04
2011,45.83,39.62,40.67,53.57,64.53,59.76,50.93,40.75,49.96
2012,49.93,47.98,44.37,59.61,67.99,62.53,54.16,49.17,53.67
2013,44.96,39.71,44.71,50.63,60.25,55.82,51.5,38.35,55.01
2014,42.46,41.7,45.61,51.51,61.69,57.37,51.61,38.26,55.04
2015,44.51,44.89,47.19,53.55,64.8,59.58,51.78,43.38,54.9
2016,46.1,45.39,47.42,54.84,64.71,60.03,51.66,44.8,54.35
2017,44.96,44.39,44.88,55.02,65.18,60.29,53.19,42.87,54.38
2018,44.29,42.24,45.55,52.65,63.46,57.8,53.58,41.16,53.38
2019,44.49,39.31,44.31,52.68,63.65,60.43,50.05,39.39,51.97
2020,45.2,42.12,44.72,52.68,64.65,58.86,53.21,42.14,53.51
2021,46.48,43.43,44.77,53.74,63.28,58.82,51.61,44.97,53.51
2022,46.57,40.79,42.36,53.81,64.57,60.02,52.15,40.97,53.49
2023,46.15,40.44,43.15,53.42,64.19,58.72,49.77,41.77,50.54
2024,48.61,43.08,43.72,57.13,65.94,61.28,51.24,45.4,52.44
