Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,51.47,43.07,44.42,57.65,66.8,63.13,52.39,46.4,54.0
1901,46.51,44.62,46.86,53.58,62.68,56.85,53.75,44.09,56.14
1902,49.74,43.1,45.26,56.12,64.82,60.93,52.43,44.94,54.67
1903,47.2,42.63,45.12,52.76,62.22,57.37,52.35,43.06,56.05
1904,45.36,46.76,48.36,54.47,64.47,57.94,52.38,45.33,55.98
1905,47.16,44.05,44.2,54.22,65.08,59.76,51.94,44.98,54.35
1906,48.61,44.19,46.19,54.86,64.04,60.05,50.89,45.86,54.65
1907,46.42,44.47,47.43,52.58,63.46,58.14,52.34,43.33,54.87
1908,49.54,44.82,45.92,55.5,63.62,58.78,50.38,47.64,53.89
1909,48.17,44.8,46.6,55.52,65.97,58.8,52.56,45.08,54.7
1910,47.8,45.07,46.12,54.15,65.01,59.23,54.64,44.06,55.99
1911,46.68,40.17,43.16,54.02,65.74,60.52,51.15,40.95,52.81
1912,49.28,42.69,43.52,55.26,64.47,60.25,49.75,45.9,53.01
1913,49.8,44.19,45.37,55.53,63.73,58.59,51.67,45.84,55.9
1914,48.21,46.8,45.93,55.55,64.05,58.47,53.74,47.08,55.74
1915,49.81,44.46,45.16,56.74,66.17,61.22,52.38,45.81,55.1
1916,47.8,41.79,42.99,54.33,63.83,58.8,50.44,43.34,52.07
1917,44.11,45.08,48.05,51.06,61.23,55.39,53.72,41.85,57.39
1918,47.76,43.72,47.21,53.26,63.39,58.55,51.69,44.35,55.36
1919,48.9,38.99,43.09,56.27,67.09,62.83,50.77,42.65,52.63
1920,49.51,44.22,44.56,55.58,63.71,59.77,50.98,47.66,53.2
1921,49.05,43.95,45.54,56.41,66.89,62.37,54.46,44.6,56.67
1922,49.16,46.08,46.16,56.79,65.72,60.26,52.62,48.14,55.21
1923,48.31,45.02,46.84,53.47,62.96,58.55,50.31,45.94,55.41
1924,47.17,44.75,45.27,54.23,64.1,57.86,52.45,45.15,54.45
1925,45.72,41.19,45.07,53.13,65.29,60.14,50.87,41.8,52.94
1926,47.16,42.13,45.81,53.7,64.71,59.9,53.76,41.06,56.5
1927,50.64,43.95,46.44,57.75,67.1,61.65,53.79,45.69,55.75
1928,47.76,43.6,46.0,54.26,64.18,59.16,52.54,44.67,55.35
1929,48.04,41.54,44.74,52.6,63.04,59.04,50.54,42.84,55.83
1930,49.45,43.04,44.27,54.66,63.8,59.12,50.81,45.4,53.79
