Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1930,0.11,1.1,0.81,0.1,-999,0.0,0.84,1.37,0.34
1931,0.01,0.02,0.0,0.0,-999,0.0,0.09,0.01,0.0
1932,0.06,0.39,0.0,0.0,-999,0.0,0.79,0.13,0.67
1933,0.8,1.34,0.86,0.0,-999,0.0,0.64,2.35,0.34
1934,1.04,0.11,0.0,0.0,-999,0.0,0.06,0.74,0.0
1935,0.55,0.72,0.03,0.0,-999,0.0,0.17,1.59,0.0
1936,0.03,4.64,0.08,0.0,-999,0.0,0.15,5.08,0.0
1937,0.01,1.31,0.82,0.0,-999,0.0,1.28,1.49,2.01
1938,0.1,0.29,0.0,0.0,-999,0.0,0.01,0.85,0.0
1939,0.06,1.13,0.0,0.0,-999,0.0,0.17,1.14,0.0
1940,0.01,0.25,0.0,0.0,-999,0.0,0.55,0.43,0.0
1941,0.0,0.15,0.0,0.0,-999,0.0,0.03,0.06,0.0
1942,0.31,0.49,0.2,0.0,-999,0.0,0.44,0.32,0.0
1943,0.66,1.59,0.04,0.0,-999,0.0,0.11,1.0,0.0
1944,0.02,0.28,0.0,0.0,-999,0.0,0.06,0.1,0.0
1945,0.17,0.18,0.0,0.0,-999,0.0,0.13,0.38,0.0
1946,0.01,0.08,0.0,0.0,-999,0.0,0.06,0.59,0.0
1947,0.0,0.15,0.0,0.0,-999,-999.0,0.13,0.16,0.0
1948,0.44,0.5,0.0,0.0,-999,0.0,0.7,2.12,0.0
1949,0.0,1.51,0.49,0.0,-999,0.0,0.77,0.3,1.0
1950,0.01,2.08,0.47,0.0,-999,0.0,0.16,1.47,0.0
1951,0.06,1.04,0.11,0.02,-999,0.0,0.44,2.66,0.0
1952,0.0,0.27,0.0,0.0,-999,0.0,0.8,0.51,0.0
1953,0.0,0.02,0.0,0.0,-999,0.0,0.03,0.32,0.0
1954,0.0,1.15,0.0,0.0,-999,0.0,0.05,1.04,0.0
1955,0.08,0.24,0.0,0.0,-999,0.0,0.23,0.61,0.0
1956,0.0,0.39,0.07,0.0,-999,0.0,0.31,0.19,0.0
1957,0.97,0.81,0.13,0.0,-999,0.0,0.08,0.31,0.0
1958,0.03,0.11,0.0,0.0,-999,0.0,0.01,0.24,0.0
1959,0.06,0.45,0.0,0.0,-999,0.0,0.02,0.89,0.0
