Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1950,6.37,0.06,1.95,0.27,0.0,0.0,-999.0,0.19,0.89,0.0
1951,16.8,0.06,1.06,0.0,0.03,0.0,-999.0,0.34,1.44,0.0
1952,7.1,0.02,0.35,0.0,0.0,0.0,-999.0,0.57,0.28,0.0
1953,9.88,0.02,0.03,0.0,0.0,0.0,-999.0,0.04,0.18,0.0
1954,18.59,0.05,1.13,0.0,0.0,0.0,-999.0,0.06,0.6,0.0
1955,11.73,0.05,0.3,0.0,0.0,0.0,-999.0,0.21,0.29,0.0
1956,25.04,0.03,0.43,0.0,0.0,0.0,-999.0,0.22,0.07,0.0
1957,12.82,1.24,0.6,0.04,0.0,0.0,-999.0,0.08,0.17,0.0
1958,2.12,0.03,0.14,0.0,0.0,0.0,-999.0,0.01,0.16,0.0
1959,10.67,0.1,0.4,0.0,0.0,0.0,-999.0,0.01,0.44,0.0
1960,5.11,0.05,0.22,0.0,0.0,0.0,-999.0,0.02,0.03,0.0
1961,13.35,0.14,0.15,0.0,0.0,0.0,-999.0,0.05,0.05,0.0
1962,6.93,0.55,1.1,0.04,0.0,0.0,-999.0,0.28,0.72,0.0
1963,8.08,0.1,0.99,0.0,0.03,0.0,-999.0,0.86,0.71,0.0
1964,21.42,0.02,0.38,0.17,0.0,0.0,-999.0,0.13,0.0,0.0
1965,11.92,0.07,0.28,0.0,0.0,0.0,-999.0,0.01,0.56,0.0
1966,14.64,0.04,1.02,0.0,0.0,0.0,-999.0,0.23,0.86,0.0
1967,9.24,0.1,0.58,0.0,0.0,0.0,-999.0,0.01,0.9,0.0
1968,13.73,0.35,0.85,0.35,0.0,0.0,-999.0,0.18,0.42,0.0
1969,10.15,0.02,0.53,0.0,0.0,0.0,-999.0,0.15,0.06,0.0
1970,11.3,0.05,0.86,0.0,0.0,0.0,-999.0,0.03,0.96,0.0
1971,25.03,0.5,0.48,0.0,0.0,0.0,-999.0,0.57,0.39,0.0
1972,9.39,0.13,1.5,0.1,0.0,0.0,-999.0,0.12,0.98,0.4
1973,9.3,0.07,0.23,0.0,0.0,0.0,-999.0,0.04,0.48,0.0
1974,12.77,0.07,0.63,0.0,0.04,0.0,-999.0,0.26,0.46,0.0
1975,14.17,0.05,0.12,0.0,0.0,0.0,-999.0,0.15,0.1,0.0
1976,10.11,0.4,0.19,0.0,0.0,0.0,-999.0,0.12,0.35,0.0
1977,6.01,0.02,0.68,0.0,0.0,0.0,-999.0,0.01,1.03,0.0
1978,2.46,0.07,0.6,0.06,0.0,0.0,-999.0,0.08,0.11,0.0
1979,11.7,0.39,1.24,0.1,0.0,0.0,-999.0,0.41,1.27,0.0
1980,13.67,0.09,0.35,0.0,0.0,0.0,-999.0,0.02,0.1,0.0
1981,3.68,0.46,0.05,0.0,0.0,0.0,-999.0,0.01,0.16,0.0
1982,6.86,0.06,1.22,0.0,0.0,0.0,-999.0,0.23,1.42,0.0
1983,4.85,0.06,1.67,0.0,0.0,0.0,-999.0,0.03,0.76,0.0
1984,8.33,0.16,0.29,0.06,0.0,0.0,-999.0,0.24,0.37,0.0
