Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,14.3,26.34,1.79,5.93,0.06,0.68,3.51,30.54,0.17
1901,14.83,27.34,0.53,8.9,0.43,0.43,9.01,31.88,5.03
1902,12.99,26.3,4.53,7.18,0.03,0.07,10.44,26.93,3.16
1903,13.82,26.33,2.61,8.32,0.32,0.38,15.05,34.14,9.34
1904,27.97,30.68,1.44,10.73,0.07,0.61,6.84,41.0,0.25
1905,20.73,30.65,3.44,12.89,1.31,0.65,7.61,36.66,3.67
1906,15.26,25.62,2.64,4.04,0.01,0.06,6.18,29.7,2.25
1907,17.52,27.09,4.51,3.02,0.03,0.19,4.13,28.11,1.01
1908,15.18,17.77,2.16,1.31,0.02,0.27,10.1,21.05,2.39
1909,8.77,35.95,5.86,6.57,0.12,0.15,13.86,30.33,0.0
1910,15.63,26.03,4.48,4.61,0.4,0.25,10.1,28.54,7.69
1911,11.18,31.14,3.34,1.69,0.38,0.04,14.17,27.7,3.18
1912,19.83,34.05,3.92,15.35,1.07,1.1,12.74,48.57,2.89
1913,6.9,35.88,5.36,3.37,0.08,0.05,16.0,32.67,1.81
1914,22.37,32.05,3.91,8.58,0.35,0.64,14.09,38.5,5.84
1915,6.58,20.25,2.57,3.89,0.02,0.05,13.61,19.91,2.56
1916,17.95,49.93,8.85,7.47,0.26,0.44,14.46,48.08,6.05
1917,25.33,42.54,5.13,15.78,0.75,2.21,16.37,50.47,11.08
1918,22.41,30.22,2.13,14.31,2.22,1.2,15.1,33.01,3.48
1919,11.7,34.25,7.33,3.45,0.26,0.42,18.14,31.65,7.14
1920,19.0,24.61,1.7,4.48,0.0,0.2,12.13,35.11,1.42
1921,10.83,18.31,1.97,0.15,0.02,0.03,7.38,17.57,0.59
1922,15.32,37.53,11.0,2.58,0.0,0.16,16.1,33.15,9.51
1923,18.0,24.08,4.22,1.65,0.01,0.06,13.7,30.17,4.74
1924,15.76,35.8,10.7,10.71,0.43,0.25,20.14,37.67,9.77
1925,12.47,22.9,0.49,4.31,0.12,0.24,13.42,26.41,0.53
1926,15.96,16.9,2.18,2.83,0.09,0.2,10.64,30.78,1.83
1927,8.63,31.85,5.38,2.96,0.09,0.12,10.31,31.89,3.48
1928,9.39,14.61,2.85,3.81,0.38,0.39,10.59,23.99,2.87
1929,10.6,38.71,10.17,9.92,0.29,0.1,16.09,45.53,3.27
1930,10.86,25.49,11.72,7.09,1.1,0.37,16.48,27.77,7.06
1931,8.94,9.38,4.23,0.25,0.03,0.06,12.47,7.78,4.39
1932,5.58,36.36,10.36,2.7,0.02,0.13,18.48,29.9,10.58
1933,10.32,24.01,4.79,4.19,0.44,0.09,13.49,27.93,10.66
1934,25.5,15.04,0.26,5.66,0.01,0.59,4.31,28.18,0.3
1935,21.01,21.54,3.35,4.96,0.09,0.76,9.07,27.05,3.02
1936,20.37,48.36,6.64,16.47,0.63,0.96,9.02,44.99,1.77
1937,5.06,43.84,11.31,1.21,0.02,0.09,20.23,37.6,12.37
1938,11.56,23.2,0.75,1.03,0.0,0.07,8.84,23.84,0.65
1939,13.1,22.17,1.91,1.1,0.0,0.02,11.93,25.12,2.3
1940,16.65,31.56,1.14,10.39,2.13,1.54,10.72,32.9,1.78
1941,10.56,17.73,1.15,0.67,0.0,0.02,7.17,21.77,0.67
1942,15.99,23.11,5.35,7.32,0.88,0.71,15.27,24.86,2.89
1943,18.31,31.39,4.16,8.02,0.17,0.22,9.51,39.96,0.95
1944,15.01,22.53,2.93,2.86,0.03,0.04,10.55,21.63,5.43
1945,16.44,25.61,2.72,6.3,0.06,0.06,10.73,31.68,3.47
1946,12.55,19.8,2.2,1.62,0.0,0.08,7.36,26.62,3.15
1947,9.28,23.98,3.1,2.41,0.04,0.1,10.07,28.49,2.83
1948,22.39,33.58,5.56,8.56,0.35,0.43,14.9,40.63,3.67
1949,5.34,41.96,13.67,1.55,0.05,0.02,20.2,28.95,16.85
1950,12.49,40.87,10.16,4.04,0.18,0.11,10.74,45.02,4.38
1951,11.2,40.78,4.34,7.93,1.09,0.18,13.05,40.29,3.0
1952,6.17,25.22,4.44,0.54,0.0,0.03,15.41,20.95,4.19
1953,4.17,12.17,0.58,1.55,0.0,0.04,6.64,21.14,0.94
1954,10.51,19.65,2.12,1.23,0.0,0.09,6.96,19.34,2.13
1955,13.62,38.19,6.2,5.27,0.02,0.19,15.2,39.71,6.8
1956,8.25,27.14,6.03,1.44,0.0,0.06,11.61,30.61,4.72
1957,11.9,24.97,8.31,3.15,0.0,0.13,8.45,30.4,4.29
1958,19.86,22.4,1.26,8.69,0.79,0.5,7.05,33.34,0.67
1959,14.24,27.12,2.21,5.28,0.29,0.22,8.27,34.93,2.71
1960,13.67,34.38,4.26,6.73,0.14,0.53,13.47,31.35,2.54
1961,19.23,22.17,1.98,7.24,0.12,0.41,8.21,24.86,2.01
1962,20.64,32.98,4.56,9.54,2.36,0.71,14.42,36.47,7.74
1963,23.14,34.74,4.43,21.59,1.56,0.99,14.14,46.81,4.91
1964,11.41,26.43,3.63,2.27,0.18,0.29,12.11,27.54,4.16
1965,13.07,31.5,1.66,6.34,0.15,0.33,9.18,34.65,2.54
1966,11.52,33.55,2.14,5.79,0.93,0.6,12.64,37.51,3.6
1967,15.07,23.92,2.12,3.96,0.0,0.43,9.98,34.28,1.18
1968,23.75,25.63,3.48,7.19,0.06,0.4,12.42,30.02,1.07
1969,11.5,30.95,3.88,3.45,0.02,0.09,7.62,29.68,1.25
1970,21.77,30.18,1.82,9.83,0.97,1.25,7.78,39.45,3.06
1971,16.83,29.01,2.72,5.71,0.26,0.16,11.08,33.94,5.2
1972,16.67,37.32,10.18,7.17,0.27,0.42,12.11,45.19,7.6
1973,12.37,20.51,3.33,2.72,0.07,0.17,13.27,22.17,2.13
1974,11.53,22.12,6.87,3.99,0.02,0.06,14.83,25.57,3.18
1975,10.67,27.94,2.77,1.77,0.02,0.09,12.23,31.93,2.01
1976,20.02,26.11,2.05,7.12,0.15,0.28,11.56,39.98,0.83
1977,18.82,30.4,3.28,20.89,1.74,1.56,8.75,40.65,3.28
1978,18.73,46.62,4.58,16.08,0.28,0.55,10.64,50.66,2.12
1979,18.58,40.43,9.87,16.7,0.57,0.79,15.86,41.3,3.23
1980,17.34,26.68,4.15,5.68,0.06,0.29,6.22,36.45,0.94
1981,14.67,15.32,0.83,8.37,0.21,0.42,4.01,26.5,0.0
1982,19.59,34.38,5.54,10.72,1.66,1.37,11.14,38.9,3.25
1983,11.7,23.0,4.39,8.52,1.2,1.06,7.45,26.1,0.94
1984,14.83,21.92,5.65,6.36,0.59,0.41,12.66,28.08,3.18
1985,14.31,39.81,10.35,14.04,1.75,1.77,12.99,42.96,5.07
1986,10.39,17.32,1.29,4.06,0.14,0.27,4.94,26.75,0.24
1987,14.24,7.02,2.42,2.58,0.0,0.38,7.33,8.92,4.01
1988,17.12,27.91,2.98,7.32,0.47,0.54,11.1,36.16,3.95
1989,20.19,35.67,6.47,12.15,1.82,1.25,15.61,43.77,7.15
1990,4.93,18.66,6.35,1.67,0.15,0.09,12.14,18.81,8.82
1991,9.31,20.46,2.03,1.82,0.0,0.08,8.48,27.54,2.01
1992,10.71,11.72,2.22,1.87,0.0,0.05,7.43,15.42,3.6
1993,18.12,28.85,5.81,3.21,0.03,0.2,6.54,31.33,6.07
1994,22.67,26.0,1.72,8.83,0.32,1.3,6.73,33.75,2.11
1995,11.01,22.35,1.19,4.49,0.03,0.25,4.58,28.27,1.3
1996,14.46,42.64,3.99,8.13,0.63,0.91,9.19,41.73,0.83
1997,8.81,22.95,2.57,7.26,0.28,0.23,9.41,24.31,0.75
1998,4.34,17.54,2.94,0.64,0.0,0.06,7.22,13.35,2.83
1999,9.4,10.87,0.57,4.12,0.0,0.02,3.8,19.18,0.59
2000,14.84,21.6,0.72,8.12,0.08,0.29,5.42,29.25,0.35
2001,6.96,17.46,2.21,1.73,0.07,0.09,7.96,19.09,1.42
2002,4.23,17.11,1.88,0.55,0.04,0.03,9.17,11.92,2.01
2003,20.53,23.36,0.6,4.54,0.17,0.26,5.02,32.94,0.0
2004,17.79,20.48,2.69,5.06,0.05,0.12,7.57,27.34,2.56
