Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1901,11.92,9.51,23.44,20.51,34.37,28.08,21.1,4.52,29.27
1902,12.44,9.68,22.89,16.83,30.64,26.04,20.95,5.16,28.74
1903,13.57,4.96,19.35,20.97,34.87,30.3,17.92,3.79,25.64
1904,6.75,6.52,22.08,15.31,31.89,24.42,18.8,-4.24,27.25
1905,7.28,5.22,21.4,15.0,30.09,24.97,21.41,3.04,30.43
1906,16.16,10.63,21.81,22.19,33.76,30.28,19.84,7.85,28.53
1907,9.7,8.57,22.7,23.71,38.75,31.05,26.32,6.52,31.4
1908,13.72,11.28,23.06,22.71,34.87,28.18,21.51,8.59,29.93
1909,15.5,7.86,21.53,24.5,37.62,33.37,22.15,6.44,30.11
1910,13.37,3.11,16.45,17.6,31.47,27.03,17.2,2.69,24.66
1911,12.12,7.97,20.92,22.92,37.26,30.08,24.02,4.82,28.26
1912,11.77,8.35,22.25,17.24,32.17,27.1,17.41,8.91,26.78
1913,17.34,5.67,17.51,22.01,36.55,33.19,16.2,4.31,24.37
1914,11.92,9.15,22.69,22.99,35.46,29.73,20.5,7.07,29.56
1915,15.35,6.68,19.45,21.48,34.66,30.6,19.22,5.99,27.1
1916,14.66,8.5,18.67,21.63,35.76,30.39,21.99,6.66,28.62
1917,11.79,1.25,16.71,18.11,35.31,29.61,17.69,-0.2,22.77
1918,5.26,5.19,25.6,12.74,30.43,24.57,20.48,1.03,28.47
1919,17.73,11.93,21.26,25.44,36.23,31.64,17.05,12.02,26.21
1920,7.84,7.81,18.23,18.4,35.22,27.79,22.19,-0.54,27.88
1921,16.87,13.11,23.53,26.32,37.34,31.6,20.98,12.21,28.63
1922,12.35,3.87,15.93,22.76,38.23,32.35,20.23,3.93,25.93
1923,10.49,6.64,19.1,22.84,38.52,31.84,22.2,2.56,28.3
1924,15.34,9.19,21.44,22.58,35.73,30.4,19.54,9.97,26.82
1925,13.08,7.47,21.76,21.11,36.46,31.63,17.69,3.05,27.85
1926,13.76,14.53,25.68,22.26,34.91,30.2,20.8,6.96,29.44
1927,13.91,9.03,22.51,23.89,39.22,33.25,22.94,5.13,29.41
1928,15.15,6.28,19.46,21.7,34.24,29.3,19.79,4.84,27.25
1929,14.78,3.5,13.56,18.25,34.01,29.7,16.94,7.47,24.47
1930,14.94,9.04,19.9,23.19,35.55,31.46,19.98,9.08,29.63
1931,14.81,15.65,20.57,25.03,34.79,28.65,19.64,13.51,27.55
1932,20.69,9.09,17.61,30.31,42.94,38.02,18.52,12.98,24.94
1933,18.82,5.79,15.66,23.6,37.87,33.89,14.33,5.87,21.38
1934,8.12,13.65,28.66,22.42,37.06,29.98,24.03,5.16,31.5
1935,11.15,11.05,22.41,23.1,35.6,29.93,23.02,5.41,29.78
1936,9.88,1.6,19.37,14.77,30.89,24.98,20.8,1.59,29.05
1937,18.97,7.74,14.97,23.79,39.15,35.28,16.36,7.8,22.34
1938,14.66,8.9,24.69,24.5,37.54,31.54,23.45,6.01,30.44
1939,15.39,8.87,21.87,23.81,36.53,32.22,18.67,5.86,27.11
1940,12.39,9.93,26.14,18.65,30.74,26.07,22.3,8.6,32.48
1941,14.37,11.78,24.46,23.8,35.89,29.05,24.48,8.18,32.4
1942,14.31,10.17,20.42,22.86,33.69,28.61,19.48,10.67,28.3
1943,12.57,8.9,21.23,21.23,35.49,30.2,22.82,2.74,29.65
1944,13.07,10.44,20.37,22.62,36.7,30.22,19.63,10.3,27.36
1945,10.95,10.37,23.24,19.71,34.87,28.69,21.88,5.43,28.61
1946,12.16,8.93,21.33,21.21,34.65,29.62,17.99,4.56,26.73
1947,15.18,9.77,21.87,22.34,35.08,29.93,21.22,6.63,28.66
1948,9.34,8.43,21.64,19.47,33.83,27.75,18.83,2.24,26.53
1949,19.18,0.16,11.65,25.36,39.42,36.41,16.59,6.01,20.03
1950,17.53,7.74,17.76,25.43,40.36,35.37,20.07,7.53,26.11
1951,16.44,8.33,24.14,20.07,33.58,28.38,21.28,3.32,30.68
1952,16.81,6.29,18.14,24.61,39.42,33.04,20.17,7.16,26.28
1953,19.69,14.1,26.5,26.14,36.51,32.46,21.48,10.76,30.52
1954,17.73,14.42,24.56,24.69,36.23,31.36,21.8,9.84,29.39
1955,14.88,8.94,18.9,22.65,34.62,28.43,16.97,6.98,24.17
1956,14.87,5.58,20.37,21.35,35.39,29.2,22.01,3.31,29.53
1957,15.26,7.35,18.13,24.92,40.31,35.08,23.08,5.49,27.33
1958,15.55,13.64,26.6,20.67,32.05,26.67,22.76,8.61,31.15
1959,9.24,6.55,25.33,18.04,33.78,27.94,21.49,-0.31,30.35
1960,18.36,10.06,19.46,24.44,34.75,30.33,19.15,10.88,26.9
1961,9.76,12.11,24.3,19.69,33.0,26.15,20.1,6.63,28.81
1962,13.12,5.85,20.19,20.26,35.83,30.02,19.92,3.29,27.37
1963,9.27,8.63,23.29,14.27,29.89,24.66,20.32,0.98,29.44
1964,12.08,9.95,20.3,17.9,30.26,25.82,15.78,6.75,26.08
1965,13.18,6.32,23.74,20.9,35.35,30.2,21.61,1.67,30.43
1966,15.59,8.7,22.22,21.97,33.95,28.28,19.06,9.79,26.3
1967,14.73,10.96,25.97,21.35,33.89,29.12,19.92,3.98,29.57
1968,11.43,8.43,22.51,19.6,33.33,26.56,20.11,5.73,28.72
1969,14.56,6.02,20.05,21.49,33.71,27.53,21.29,6.15,28.4
1970,10.74,10.2,25.39,17.98,31.33,25.76,22.63,3.55,31.33
1971,12.21,7.57,22.64,21.17,35.04,29.44,20.61,6.3,28.51
1972,14.39,5.61,20.69,23.32,38.8,33.87,20.59,5.57,26.59
1973,15.7,8.09,19.91,22.88,34.35,30.7,18.27,7.36,27.14
1974,16.09,10.36,23.57,23.49,37.23,33.86,18.62,5.09,28.95
1975,17.87,9.16,22.04,24.68,37.06,32.78,18.92,9.58,27.73
1976,13.33,13.2,23.52,23.82,34.75,30.08,21.65,7.8,29.2
1977,8.77,10.35,20.02,13.17,29.05,23.54,19.03,3.35,26.7
1978,10.53,5.36,26.54,13.41,29.3,25.07,23.88,1.01,33.28
1979,12.01,0.35,16.14,14.9,31.16,27.1,17.17,2.07,25.94
1980,15.54,10.36,23.91,21.27,34.14,28.67,23.5,7.91,32.25
1981,11.71,14.44,26.02,20.86,32.21,26.68,24.22,7.93,31.34
1982,12.32,7.27,21.86,17.47,33.37,28.35,21.63,6.4,29.8
1983,18.66,16.14,25.82,26.95,37.19,31.84,23.09,14.88,31.03
1984,15.55,8.11,20.0,19.2,31.84,29.16,19.04,5.78,29.98
1985,15.95,4.55,16.18,20.18,34.67,30.55,20.31,4.88,26.33
1986,13.89,10.75,21.8,20.12,33.95,29.03,23.56,3.94,32.49
1987,14.91,15.63,22.36,24.83,36.6,29.8,21.74,14.19,28.12
1988,15.23,9.28,21.78,21.39,33.96,28.76,19.74,6.24,28.13
1989,15.47,7.65,18.52,22.88,36.39,31.19,19.08,5.8,25.33
1990,14.23,11.6,23.15,22.64,36.03,31.33,19.88,7.36,27.17
1991,18.18,9.15,20.33,23.95,37.38,33.84,19.66,7.06,27.0
1992,16.67,16.84,26.35,27.09,38.39,32.84,22.66,13.54,30.5
1993,14.72,4.65,17.76,23.08,36.94,31.76,21.86,7.27,27.13
1994,10.15,9.69,24.08,20.56,34.75,28.58,20.69,5.47,28.44
1995,17.7,13.57,25.33,24.28,37.12,32.2,25.41,10.61,32.8
1996,13.69,8.21,23.25,20.66,34.0,28.42,23.47,6.31,32.29
1997,19.1,8.1,22.97,23.76,37.62,32.71,22.09,6.9,31.24
1998,21.57,15.84,24.84,29.53,38.18,34.09,22.57,18.6,30.38
1999,18.36,14.1,23.33,26.03,39.28,33.75,23.29,11.49,28.8
2000,17.06,15.38,25.08,25.12,36.74,30.6,23.9,11.27,31.26
2001,14.3,7.39,21.72,19.44,33.27,28.59,21.62,4.59,28.4
2002,22.24,13.25,22.12,26.91,36.55,32.8,19.98,16.67,28.77
2003,12.29,12.27,26.49,20.67,33.84,28.97,23.94,7.43,31.88
2004,13.45,11.81,23.8,22.62,34.27,28.22,21.39,9.08,29.48
2005,15.39,13.3,24.15,25.67,37.93,31.63,25.7,9.72,31.43
2006,19.13,14.73,22.84,25.13,35.45,31.51,21.63,13.55,30.51
2007,17.85,11.0,22.1,23.07,36.2,31.6,20.57,11.0,27.48
2008,17.77,8.3,21.17,22.73,36.56,32.89,20.1,5.91,27.71
2009,14.11,8.75,21.35,20.37,35.5,31.03,22.94,2.53,29.28
2010,18.29,7.4,23.97,20.47,32.25,27.98,20.11,8.38,29.62
2011,14.58,7.98,22.68,20.18,32.74,27.8,21.1,6.48,30.12
2012,21.23,14.08,22.29,27.43,38.94,33.73,21.93,15.69,28.18
2013,19.56,11.88,22.12,25.72,38.67,33.85,19.1,10.16,27.15
2014,12.97,6.48,22.24,16.59,33.08,29.51,22.09,-1.43,30.55
2015,11.77,13.35,27.98,20.28,34.8,28.99,25.62,6.98,34.56
2016,22.09,16.31,25.29,27.3,39.18,35.02,22.32,15.78,30.55
2017,21.17,10.33,19.02,27.82,41.12,35.56,24.97,14.08,30.44
2018,16.32,8.19,23.98,22.18,37.09,32.34,23.39,6.35,30.85
2019,16.9,8.26,22.07,24.96,39.51,34.49,21.56,7.57,29.77
2020,20.55,13.47,24.71,27.47,39.9,35.87,22.9,11.7,31.21
2021,19.65,12.01,23.8,22.97,35.18,31.79,21.09,10.52,30.01
2022,16.32,9.74,22.14,23.34,37.76,33.2,21.77,5.06,29.11
2023,22.25,9.63,20.81,27.69,40.57,35.67,21.09,12.33,28.34
2024,23.54,15.96,26.23,28.3,37.42,33.18,24.4,20.17,32.72
