Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,56.75,52.76,46.64,63.57,69.05,66.69,55.22,55.13,54.9
1901,57.6,52.67,46.11,63.85,68.89,66.4,56.6,55.86,55.4
1902,53.43,49.4,44.58,60.86,68.8,64.26,54.86,52.27,54.2
1903,52.84,50.44,46.67,59.83,66.82,64.05,55.6,51.19,54.32
1904,54.29,49.44,46.29,59.62,66.78,63.7,54.91,51.52,55.4
1905,55.12,51.26,47.0,61.99,68.6,64.88,54.85,53.74,54.18
1906,56.49,50.51,47.44,61.76,67.92,66.38,54.42,54.2,55.36
1907,53.26,49.83,45.56,60.68,67.8,63.27,54.06,52.47,52.81
1908,54.99,50.06,46.57,60.95,67.84,64.18,54.42,53.21,54.23
1909,53.54,53.0,45.54,62.09,69.13,64.0,56.61,54.77,54.85
1910,54.33,50.82,45.06,60.18,67.57,63.99,56.42,53.13,54.29
1911,55.88,50.81,46.12,62.1,68.39,64.88,55.48,54.13,53.99
1912,53.1,50.4,46.48,60.67,67.68,63.74,54.42,52.12,53.44
1913,53.52,52.4,47.85,62.63,67.86,64.49,54.94,54.31,55.14
1914,54.08,51.99,46.65,62.94,69.58,65.09,56.12,54.13,54.95
1915,53.99,48.5,46.95,59.36,67.41,63.82,53.95,49.65,54.3
1916,55.71,51.16,45.34,62.04,68.23,64.53,54.74,55.16,53.05
1917,56.32,49.63,45.98,59.84,66.88,63.8,55.1,51.65,56.01
1918,54.07,52.16,47.54,61.94,67.92,63.03,56.93,53.25,56.01
1919,55.63,53.33,46.03,62.55,68.47,64.37,56.1,56.21,55.39
1920,54.99,51.26,46.72,59.92,67.01,63.68,54.61,52.62,54.54
1921,55.76,53.61,47.1,63.94,68.98,65.05,56.28,57.36,56.27
1922,55.81,52.59,48.29,61.38,67.98,64.75,56.85,53.97,56.13
1923,53.27,52.99,47.85,61.86,68.25,64.67,55.26,54.33,53.16
1924,53.4,49.16,45.81,60.43,68.56,64.3,55.32,51.01,54.11
1925,54.78,51.41,47.46,61.66,68.68,64.58,56.24,53.68,55.54
1926,53.7,51.51,48.11,60.98,67.64,64.75,55.33,52.3,56.76
1927,52.22,50.14,47.52,58.24,67.49,62.61,55.55,50.07,55.08
1928,56.26,49.66,46.81,61.34,68.39,65.29,54.58,52.76,54.59
1929,52.98,51.68,46.83,59.8,67.34,62.9,56.09,52.04,55.66
1930,54.97,52.94,47.13,60.66,67.1,63.08,56.13,54.34,55.4
1931,56.54,53.64,47.76,62.88,67.57,64.88,56.89,55.89,57.99
1932,54.45,53.04,46.47,62.24,69.38,64.89,55.7,55.16,54.59
1933,55.42,53.97,47.62,62.33,67.91,64.35,57.0,55.62,55.96
1934,55.12,52.78,47.58,64.94,70.13,67.05,56.81,53.95,55.5
1935,56.38,52.2,46.41,62.7,68.36,65.07,56.32,55.69,55.29
1936,54.76,55.71,49.13,63.66,69.01,65.12,57.72,54.64,57.13
1937,57.4,53.45,47.54,62.75,68.82,65.35,56.53,55.99,56.14
1938,56.71,52.74,47.57,62.66,68.21,64.54,55.82,55.69,55.85
1939,56.16,51.44,47.09,62.55,68.58,65.81,55.62,55.3,55.79
1940,54.38,52.83,48.29,61.86,67.54,64.76,56.59,54.57,56.41
1941,54.71,53.47,49.16,62.46,68.74,65.51,54.28,55.36,54.7
1942,55.82,51.14,47.43,62.6,68.41,65.78,54.95,54.25,55.36
1943,56.74,51.8,45.88,64.16,69.66,66.3,56.17,56.25,53.26
1944,55.87,50.58,46.21,62.2,68.37,63.96,54.08,54.9,52.15
1945,55.18,50.18,46.57,60.08,67.65,64.37,54.72,52.31,55.16
1946,53.18,51.36,47.3,60.25,67.51,62.82,56.43,52.97,55.2
1947,56.28,51.98,46.62,62.22,67.48,63.38,55.34,55.16,53.44
1948,55.13,52.18,47.55,61.35,68.01,64.25,55.16,54.5,53.59
1949,57.63,51.97,46.12,63.88,68.66,66.28,55.02,56.92,54.45
1950,53.93,48.74,47.02,59.37,66.88,63.64,53.7,51.59,54.83
1951,54.82,49.44,46.34,61.17,68.71,64.45,55.17,52.55,54.8
1952,56.5,51.54,46.94,63.46,69.44,65.96,56.25,55.08,54.77
1953,54.38,52.58,46.21,62.44,68.85,64.29,56.28,55.54,54.16
1954,54.14,52.17,45.74,63.37,69.35,64.02,56.13,54.85,54.29
1955,57.19,52.84,46.5,62.47,67.07,64.35,55.31,57.67,54.52
1956,54.26,51.97,47.02,61.91,67.57,64.09,55.45,54.53,54.15
1957,54.21,52.5,46.54,62.13,68.22,63.75,56.52,54.94,55.1
1958,53.97,50.68,50.25,60.99,68.28,65.01,56.57,51.55,56.66
1959,57.14,52.25,47.18,62.53,67.9,64.95,57.02,56.52,56.88
1960,54.37,51.69,47.38,61.16,67.86,64.7,56.01,53.56,56.89
1961,55.54,53.24,50.27,60.49,66.06,63.77,56.81,54.31,58.3
1962,53.78,50.84,45.91,60.84,67.77,63.5,54.47,53.25,54.46
1963,54.16,53.23,46.9,60.53,67.93,62.85,56.25,54.67,53.81
1964,53.81,51.48,46.83,61.26,68.05,63.98,55.68,53.99,55.06
1965,53.1,51.54,47.62,60.4,67.25,63.54,54.54,52.52,54.41
1966,54.61,51.91,46.59,60.78,67.01,62.94,56.42,54.92,55.52
1967,56.3,50.5,49.07,59.47,66.1,62.6,55.74,52.64,57.0
1968,55.04,50.69,47.81,62.15,67.49,64.53,54.74,54.11,55.75
1969,55.86,50.88,47.49,61.61,67.89,64.95,56.69,53.18,56.48
1970,55.76,52.8,48.46,61.59,67.54,64.37,56.47,55.43,56.99
1971,54.45,51.61,48.06,61.15,67.47,64.45,55.88,53.47,56.75
1972,55.25,51.31,48.11,60.32,66.45,62.36,55.94,53.31,56.77
1973,58.18,51.98,47.23,62.89,67.7,65.22,54.75,56.36,56.15
1974,54.98,51.15,47.78,60.49,66.26,63.25,55.42,53.91,55.87
1975,56.76,51.88,47.74,62.69,67.75,64.41,54.18,55.77,54.77
1976,55.57,52.03,46.61,59.85,65.72,62.59,54.55,54.27,54.39
1977,55.1,52.12,49.42,62.5,68.89,64.63,57.5,53.67,57.58
1978,55.34,50.86,47.72,62.23,68.6,64.6,55.46,54.11,55.18
1979,55.33,51.71,47.96,61.45,67.52,62.96,54.43,53.64,55.14
1980,55.57,51.81,46.36,63.49,69.52,64.43,56.08,54.86,54.79
