Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1895,-999.0,38.21,28.12,32.64,41.42,48.08,51.36,37.17,32.87,40.02
1896,-999.0,39.9,24.81,32.51,42.31,49.29,53.08,38.53,30.39,41.8
1897,-999.0,38.63,31.87,34.84,43.74,50.33,52.55,39.71,36.43,41.85
1898,-999.0,40.71,28.34,33.24,43.91,48.18,52.36,35.29,34.51,39.9
1899,-999.0,39.53,32.75,36.36,44.86,50.66,52.28,38.88,37.45,42.18
1900,-999.0,43.31,31.86,34.4,47.03,53.47,55.39,38.33,38.02,41.1
1901,-999.0,37.76,32.38,36.16,41.13,49.64,48.66,38.72,34.79,42.48
1902,-999.0,41.25,30.19,33.83,45.48,51.18,53.37,37.98,36.62,41.13
1903,-999.0,38.3,30.33,34.52,40.88,47.45,49.54,36.7,33.81,41.83
1904,-999.0,36.41,32.89,36.43,42.11,49.93,50.13,37.24,36.52,41.77
1905,-999.0,38.21,31.63,32.6,43.0,51.48,52.48,38.19,36.13,39.1
1906,-999.0,40.42,32.37,35.23,44.47,49.86,52.79,36.99,37.24,40.07
1907,-999.0,38.66,30.77,35.64,41.53,49.55,50.77,38.43,34.54,40.97
1908,-999.0,39.66,32.74,34.67,42.08,48.83,50.48,35.43,37.71,39.15
1909,-999.0,39.15,32.39,36.31,43.33,51.25,50.67,37.89,36.08,40.85
1910,-999.0,39.75,32.65,35.73,43.2,50.64,51.24,39.82,35.18,41.62
1911,-999.0,38.65,29.15,32.34,44.5,50.98,54.02,37.2,33.07,37.67
1912,-999.0,40.61,31.23,33.36,43.4,49.59,52.29,35.28,36.47,38.9
1913,-999.0,41.59,32.28,34.81,44.57,51.52,50.19,38.13,37.09,41.8
1914,-999.0,38.54,33.79,35.33,43.92,51.24,50.79,38.85,37.6,40.85
1915,-999.0,41.11,32.87,34.33,45.37,51.4,53.71,36.98,37.19,39.75
1916,-999.0,38.35,29.31,30.9,41.46,48.28,50.55,35.78,34.49,37.48
1917,-999.0,35.3,32.09,35.83,39.2,46.15,47.48,38.04,33.38,41.7
1918,-999.0,39.33,31.73,36.6,42.49,49.79,51.44,38.21,35.61,42.15
1919,-999.0,40.9,28.23,32.71,45.83,52.74,55.56,37.48,34.78,38.05
1920,-999.0,41.06,32.55,35.38,44.25,50.16,51.22,36.98,38.49,39.98
1921,-999.0,40.55,31.52,33.93,45.59,51.72,53.79,38.72,36.54,41.12
1922,-999.0,40.18,33.3,34.6,44.4,50.94,52.59,37.98,39.31,40.38
1923,-999.0,39.53,33.39,35.44,42.82,50.01,50.72,37.03,36.24,41.07
1924,-999.0,37.55,32.61,34.63,42.08,49.23,50.18,36.67,35.49,39.38
1925,24.4,37.96,30.29,34.31,43.71,50.96,53.33,37.39,33.63,38.92
1926,24.47,38.79,30.99,34.99,44.46,51.48,52.33,38.83,34.01,41.28
1927,13.2,41.53,32.31,37.22,45.86,52.51,53.24,39.44,37.33,41.67
1928,19.13,39.4,31.15,34.66,43.42,50.13,52.11,38.48,36.29,40.43
1929,23.57,39.53,30.37,31.44,42.7,49.23,52.83,36.48,33.97,39.15
1930,17.43,40.12,31.31,33.27,43.19,50.98,51.84,36.14,36.21,39.07
1931,20.07,43.54,33.57,33.23,49.06,55.16,53.92,38.82,41.86,39.55
1932,16.67,39.7,30.45,35.26,41.71,47.36,51.09,36.9,33.05,41.52
1933,17.37,38.34,33.29,34.87,44.18,52.72,52.12,40.09,35.14,41.35
1934,21.0,41.48,33.3,37.07,44.71,51.69,52.48,38.52,38.08,42.65
1935,18.8,39.89,29.23,32.86,43.52,50.37,52.57,37.3,34.22,39.57
1936,21.33,38.84,31.39,31.61,44.12,50.12,53.09,37.3,34.67,39.65
1937,23.67,38.54,32.8,37.53,41.09,49.23,49.61,39.5,34.25,42.57
1938,24.63,39.47,33.76,35.73,43.47,49.49,51.29,37.11,37.35,40.25
1939,15.23,38.34,32.62,35.1,43.4,50.69,51.34,38.71,36.23,41.53
1940,21.5,37.82,33.85,37.1,41.84,49.38,49.63,39.14,36.51,41.28
1941,17.4,40.46,33.07,35.57,46.09,52.97,53.81,37.84,38.78,39.45
1942,19.47,40.01,31.45,35.09,44.23,50.29,51.99,38.13,35.01,40.78
1943,23.7,38.57,31.83,36.21,40.07,47.31,47.88,37.39,33.48,41.92
1944,21.27,40.21,32.19,36.12,43.94,50.56,51.25,38.75,38.32,40.97
1945,16.4,40.91,30.61,34.79,44.26,50.72,52.64,37.55,34.99,41.87
1946,19.47,41.56,30.85,33.13,44.06,51.79,53.63,37.41,36.34,38.95
1947,20.8,40.55,33.03,36.72,45.56,52.07,54.11,38.37,38.13,40.65
1948,15.87,40.81,32.7,33.58,43.47,48.48,51.76,36.69,37.72,39.55
1949,24.37,40.05,33.05,35.08,42.99,49.97,52.11,38.54,36.07,41.28
1950,19.27,40.31,31.53,36.7,42.83,49.49,50.72,38.93,35.22,43.65
1951,21.13,39.01,29.58,34.67,41.2,48.78,51.47,36.82,32.91,40.83
1952,23.87,38.92,30.29,33.08,39.61,45.56,49.1,36.57,33.53,40.73
1953,19.17,40.15,34.5,36.81,41.66,49.11,50.32,38.27,37.68,42.42
1954,23.13,41.46,34.03,35.13,44.52,51.13,50.78,39.83,37.82,40.33
1955,15.3,39.82,28.86,33.59,42.21,49.27,50.71,37.64,34.34,40.68
1956,13.9,38.88,31.97,33.53,42.85,49.39,51.0,36.11,36.2,39.53
1957,24.2,40.7,32.35,34.52,42.7,49.54,52.48,37.24,35.36,40.27
1958,17.3,39.89,32.11,34.87,43.58,51.51,51.72,38.84,37.22,42.13
1959,19.63,41.7,29.09,34.27,42.8,48.84,53.44,36.86,33.53,40.63
1960,18.77,40.26,32.34,35.29,44.47,51.38,52.61,39.24,37.52,42.1
1961,17.67,43.44,30.08,32.29,44.63,49.45,51.84,36.3,37.32,39.43
1962,20.37,38.32,33.91,36.49,43.63,51.62,50.83,40.08,37.14,42.57
1963,16.67,40.25,36.67,38.7,43.75,51.86,50.01,41.36,40.48,44.55
1964,20.57,38.03,30.18,33.8,41.72,50.22,50.81,37.52,35.98,40.5
1965,19.13,39.35,30.91,35.67,44.21,51.86,52.03,38.78,35.92,41.42
1966,19.37,39.17,31.47,36.71,41.9,49.29,50.41,38.86,34.72,42.32
1967,20.43,38.15,32.73,36.83,40.77,47.81,47.16,38.87,34.58,43.8
1968,18.03,41.32,32.41,35.7,43.71,48.57,50.5,37.04,37.98,41.72
1969,20.43,40.1,32.22,34.6,42.15,49.23,50.56,37.97,35.76,40.97
1970,17.07,42.81,30.73,33.47,45.72,49.47,52.38,36.34,37.66,40.32
1971,17.77,43.17,32.05,33.34,47.29,51.82,54.19,36.57,39.6,39.02
1972,20.47,38.63,30.88,34.49,44.56,50.86,51.82,38.72,35.67,41.18
1973,17.33,40.76,32.67,35.87,47.08,53.74,53.78,37.32,39.02,40.92
1974,17.73,38.36,31.29,34.9,41.89,48.86,49.12,38.75,35.08,42.37
1975,15.53,42.02,30.92,34.81,44.3,49.01,52.92,36.11,36.63,40.9
1976,21.57,37.09,29.11,35.08,37.88,45.08,47.29,36.44,30.65,42.33
1977,17.63,42.04,32.45,34.71,45.53,52.02,52.88,39.72,36.81,42.28
1978,21.33,38.13,30.88,33.07,44.58,51.47,52.9,39.5,36.69,41.1
1979,25.6,41.79,31.83,35.64,43.4,48.36,52.16,37.42,36.13,42.53
1980,21.67,38.93,33.25,35.97,42.73,49.59,51.43,37.58,35.55,41.77
1981,20.43,39.35,33.86,35.74,42.65,50.53,49.25,40.05,36.42,42.98
1982,17.97,41.0,31.33,34.39,44.37,49.88,52.27,37.96,36.92,41.13
1983,18.9,41.19,33.66,36.13,44.78,51.34,51.38,40.54,38.39,44.17
1984,18.5,39.94,30.58,34.28,44.56,50.82,51.68,37.98,36.67,41.87
1985,16.73,42.29,27.39,30.5,47.16,52.78,56.88,37.68,35.24,39.3
1986,19.6,39.29,31.71,35.38,46.17,52.62,55.82,37.91,35.82,40.33
1987,21.23,39.27,32.39,35.94,42.4,48.56,49.86,38.78,36.57,43.83
1988,15.37,38.69,32.23,37.13,41.86,50.4,51.0,39.12,35.68,43.4
1989,18.43,40.27,32.13,35.7,43.13,49.39,52.29,38.25,34.02,41.13
1990,16.73,42.02,33.53,36.59,44.92,50.96,52.32,39.88,37.35,42.23
1991,20.27,40.59,30.25,35.87,43.53,49.22,50.79,38.57,33.93,44.0
1992,15.63,39.55,32.08,35.41,43.63,49.59,52.25,37.92,35.78,42.57
1993,22.43,39.53,29.0,33.34,42.45,47.81,52.11,36.34,33.57,40.78
1994,16.57,40.77,33.97,34.29,44.71,52.06,52.99,38.14,39.83,39.62
1995,21.07,39.71,31.8,37.1,41.54,48.59,51.38,39.47,33.92,43.62
1996,15.0,39.81,30.01,34.78,42.52,49.98,51.01,38.33,34.87,41.83
1997,21.0,39.51,33.27,36.91,43.2,50.44,51.18,39.51,36.73,43.03
1998,21.73,41.94,36.77,37.67,46.31,55.19,54.48,40.71,40.27,42.07
1999,17.87,42.26,33.23,36.07,43.3,49.84,52.09,38.86,36.97,43.12
2000,21.1,40.3,30.71,33.63,44.03,50.29,50.69,37.78,37.53,40.22
2001,18.0,41.49,34.73,36.98,44.17,50.74,50.94,40.72,39.52,44.18
2002,27.07,41.41,31.78,34.22,45.28,51.47,54.95,38.74,36.06,41.77
2003,21.77,42.03,31.26,35.72,44.64,51.37,53.34,40.22,36.51,43.33
2004,21.7,41.79,34.59,35.9,47.15,54.47,55.63,39.12,39.87,41.4
2005,19.4,43.49,34.87,35.1,45.92,52.18,54.09,40.09,39.37,41.62
2006,21.0,42.46,31.23,35.09,43.57,49.38,51.02,37.98,36.37,41.25
2007,23.83,42.84,33.92,34.71,46.4,52.49,53.7,40.01,39.45,41.77
2008,16.47,40.98,33.65,36.48,43.55,49.55,50.86,39.54,37.8,43.77
