Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,7.25,-999,-999,15.02,18.96,0.71,6.11,0.9,8.8,9.08,13.98,11.42,6.83,0.92,11.18,15.56,7.29,18.17,18.47,9.55,8.34,8.55,5.62,4.53,10.37,19.28,1.16,10.03,2.89,4.52,7.51,8.91,1.73,0.81,7.4,11.42,10.15,9.0,9.54,7.36,8.76,2.61,20.01,-999,0.67,8.06,5.32,7.35,5.87,9.16,0.56
1951,7.25,-999,-999,16.11,16.98,2.29,5.51,1.64,15.33,13.28,15.25,12.54,9.99,0.8,9.18,9.85,11.19,13.99,14.89,13.37,12.03,12.17,6.27,5.14,12.97,16.44,1.16,9.67,2.38,7.04,10.63,14.4,1.09,0.42,7.42,6.33,9.92,7.53,8.37,11.46,9.9,3.78,16.65,-999,1.23,8.71,5.42,6.93,7.61,7.58,1.19
1952,9.16,-999,-999,14.14,13.45,2.42,7.11,1.08,14.72,14.88,13.45,12.69,6.54,0.63,7.58,8.9,2.99,9.56,15.64,9.92,11.95,7.65,4.76,5.27,7.68,12.68,0.77,14.14,2.11,3.23,10.6,14.66,1.09,0.57,8.0,6.29,5.79,3.79,10.36,10.48,13.02,1.98,11.23,-999,0.95,11.2,6.71,3.31,4.84,6.48,1.03
1953,8.1,-999,-999,18.1,13.78,0.8,3.06,1.32,16.01,11.27,21.6,16.85,5.39,1.34,4.85,5.53,4.45,7.28,19.74,15.63,8.07,10.83,4.06,7.59,4.74,18.95,1.99,12.3,3.34,3.95,11.58,12.48,0.93,0.06,7.59,4.05,9.61,8.18,8.27,19.77,13.42,4.25,14.05,-999,0.98,9.28,5.51,7.31,5.18,5.04,0.6
1954,7.71,-999,-999,9.53,11.81,2.38,5.85,0.94,10.91,7.6,12.24,7.7,8.3,0.82,8.55,8.34,5.31,10.16,13.35,11.76,6.16,11.28,6.17,4.32,9.98,12.26,1.08,11.41,3.28,4.0,12.85,8.95,1.59,0.15,7.51,6.39,6.77,5.43,8.22,13.02,8.18,2.95,13.73,-999,0.81,8.67,6.86,6.4,8.64,8.74,0.37
1955,8.42,-999,-999,13.51,12.72,2.22,5.53,1.39,13.15,9.3,12.08,10.85,4.59,0.98,8.43,10.69,5.61,10.74,17.04,12.57,10.43,6.64,4.01,3.92,8.95,14.24,1.29,11.77,2.81,3.23,7.45,9.02,1.5,0.63,7.31,6.57,8.85,6.81,7.93,12.52,10.33,2.64,15.19,-999,0.61,9.18,5.22,7.51,4.44,7.02,0.6
1956,9.05,-999,-999,14.73,12.18,0.67,3.59,0.84,7.0,9.0,12.93,13.45,4.87,0.65,7.29,8.95,3.11,14.35,16.06,8.41,8.1,4.59,4.48,4.13,7.39,14.11,0.89,12.11,2.6,2.83,6.25,9.02,0.72,0.37,4.69,7.64,5.05,7.04,8.59,9.24,11.32,2.83,13.91,-999,0.5,8.51,4.71,6.25,5.15,8.83,0.62
1957,6.91,-999,-999,17.02,22.13,1.97,5.13,2.55,5.72,8.33,19.01,15.39,6.63,0.81,10.88,13.51,8.63,15.35,22.5,5.92,7.34,4.75,5.47,6.33,12.07,18.34,1.42,13.88,2.99,5.9,6.76,5.82,1.65,0.42,5.18,8.58,14.42,6.03,6.16,6.96,13.84,4.21,20.52,-999,1.19,10.76,5.12,4.84,4.98,7.05,0.92
1958,8.59,-999,-999,13.69,17.06,1.93,6.73,1.01,14.22,17.1,17.45,11.81,5.95,0.91,8.74,11.01,8.34,9.28,16.23,12.66,13.41,8.39,3.4,3.23,11.8,18.12,1.17,14.71,1.71,4.62,7.95,15.73,2.45,0.44,6.56,7.87,8.0,6.35,8.25,15.73,12.47,1.91,10.4,-999,0.6,11.46,4.2,6.46,5.38,8.12,0.78
1959,8.61,-999,-999,15.6,14.51,2.07,3.7,1.47,11.29,9.01,22.04,16.28,9.63,0.91,8.28,9.72,7.4,10.12,18.31,11.94,8.79,9.08,6.8,5.52,10.13,15.25,1.05,15.01,2.34,5.07,8.45,11.32,1.69,0.24,7.03,7.7,13.38,4.49,8.16,13.92,17.15,2.31,12.99,-999,0.44,10.38,5.35,6.81,8.69,5.2,0.35
