Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,5.79,3.47,-999.0,-999.0,0.72,-999.0,-999.0,4.06,3.8,1.86,0.45,1.08,1.13,1.53,2.06,6.15,-999.0,-999.0,4.85,0.74,1.5,1.85,6.53,0.2,2.61,0.99,1.9,-999.0,1.94,0.0,-999.0,1.58,0.44,2.18,0.36,0.83,-999.0,2.42,1.12,2.73,4.5,0.0,2.13,-999.0,0.4,2.09,0.16,-999.0
1901,-999.0,4.46,2.59,-999.0,-999.0,0.51,-999.0,-999.0,5.35,5.16,0.75,0.15,1.0,1.22,0.5,1.12,3.2,-999.0,-999.0,1.83,0.53,1.18,0.98,5.32,0.11,7.1,0.45,0.94,-999.0,2.6,0.0,-999.0,0.79,0.41,0.85,1.04,1.49,-999.0,4.45,0.79,3.16,1.5,0.58,4.09,-999.0,2.23,0.59,1.88,-999.0
1902,-999.0,4.17,5.94,-999.0,-999.0,0.78,-999.0,-999.0,4.32,3.1,3.01,0.43,2.21,1.34,2.55,1.7,3.27,-999.0,-999.0,2.33,0.99,1.27,2.24,4.81,0.0,1.94,0.47,2.05,-999.0,1.89,1.84,-999.0,1.96,0.88,4.7,0.58,0.62,-999.0,3.32,0.64,3.26,3.63,0.0,0.84,-999.0,2.68,1.03,0.89,-999.0
1903,-999.0,3.32,3.11,-999.0,-999.0,0.18,-999.0,-999.0,4.58,4.17,1.83,0.0,1.27,1.2,1.76,0.96,3.35,-999.0,-999.0,0.95,0.61,1.64,2.63,3.24,0.1,3.29,0.37,1.85,-999.0,3.92,0.89,-999.0,1.55,0.69,2.0,1.38,1.0,-999.0,3.0,0.93,2.56,2.86,0.0,2.01,-999.0,1.14,1.36,0.55,-999.0
1904,-999.0,1.46,3.7,-999.0,-999.0,0.54,-999.0,-999.0,3.4,1.23,0.86,0.14,1.99,1.47,1.84,0.85,2.97,-999.0,-999.0,2.08,0.42,0.89,3.09,2.01,0.0,2.15,0.24,0.92,-999.0,2.2,2.79,-999.0,1.07,0.85,2.28,1.16,1.09,-999.0,1.31,0.75,1.19,2.46,0.0,0.35,-999.0,1.71,0.89,0.51,-999.0
1905,-999.0,4.19,4.81,-999.0,-999.0,0.33,-999.0,-999.0,3.61,2.89,1.62,0.0,1.66,1.95,1.97,2.14,8.01,-999.0,-999.0,1.8,1.49,0.88,3.11,4.26,0.08,3.79,0.1,1.86,-999.0,2.02,0.75,-999.0,0.74,1.1,1.42,0.06,0.84,-999.0,2.58,0.65,3.17,4.09,0.05,1.19,-999.0,0.98,1.01,1.55,-999.0
1906,-999.0,4.67,6.65,-999.0,-999.0,0.37,-999.0,-999.0,5.26,3.9,1.35,0.23,1.26,1.63,1.22,1.54,5.32,-999.0,-999.0,1.29,0.21,0.86,1.94,4.84,0.57,3.4,0.24,1.35,-999.0,2.44,0.41,-999.0,0.82,0.99,2.61,0.59,1.15,-999.0,3.09,1.04,3.29,2.56,0.29,1.17,-999.0,0.88,0.85,0.87,-999.0
1907,-999.0,3.18,4.51,-999.0,-999.0,0.35,-999.0,-999.0,3.11,2.61,1.24,0.0,1.65,1.97,1.11,0.93,6.83,-999.0,-999.0,0.85,0.08,0.91,1.72,4.47,0.27,2.72,0.0,0.71,-999.0,2.62,0.48,-999.0,0.47,0.66,2.3,1.16,0.18,-999.0,3.1,0.59,2.28,3.2,0.0,1.69,-999.0,1.22,1.78,0.13,-999.0
1908,-999.0,3.95,3.15,-999.0,-999.0,0.41,-999.0,-999.0,3.1,4.84,1.16,0.0,1.0,0.73,1.93,1.19,4.68,-999.0,-999.0,0.57,0.41,0.85,2.45,3.99,0.28,3.31,0.19,1.26,-999.0,2.85,0.13,-999.0,0.47,0.44,6.0,0.38,0.57,-999.0,4.35,1.22,1.21,3.19,0.14,2.1,-999.0,1.15,0.8,0.2,-999.0
1909,-999.0,4.42,3.61,-999.0,-999.0,0.41,-999.0,-999.0,4.13,3.38,1.98,0.0,1.7,1.54,1.9,3.27,4.81,-999.0,-999.0,2.3,1.1,1.28,3.79,5.63,0.17,3.04,0.21,0.89,-999.0,2.82,0.13,-999.0,0.53,1.04,2.15,0.87,1.37,-999.0,2.22,1.0,3.04,1.66,0.26,1.93,-999.0,1.51,0.62,0.35,-999.0
1910,-999.0,2.3,3.26,-999.0,-999.0,0.36,-999.0,4.0,4.39,2.88,0.52,0.0,1.28,1.9,1.01,1.4,4.05,-999.0,-999.0,0.79,0.42,0.37,2.65,3.36,0.08,1.85,0.12,0.8,-999.0,1.38,0.16,-999.0,0.47,1.53,0.69,0.47,0.8,-999.0,2.45,0.11,2.19,1.87,0.51,0.72,-999.0,1.98,0.66,1.02,-999.0
