Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,-999,-999,-999,16.22,35.59,23.36,14.03,2.69,0.0,2.17,0.09,8.76,8.65,3.08,13.06,8.41,21.78,14.71,15.94,0.01,9.0,0.0,0.97,1.43,18.46,25.27,3.62,3.8,3.1,13.15,0.0,1.44,8.33,2.23,0.25,5.4,31.58,1.71,3.84,0.0,6.6,12.17,18.47,32.15,9.02,9.43,0.0,2.22,0.37,6.75,2.14
1931,-999,-999,-999,5.49,4.91,22.17,21.32,8.23,0.0,0.0,1.22,12.31,6.18,6.0,10.13,3.11,19.47,6.3,5.4,0.01,0.0,0.0,1.18,4.36,8.95,4.91,5.87,2.6,7.57,18.1,0.0,0.3,5.7,11.93,0.9,1.33,9.76,2.9,0.58,0.0,6.42,20.82,3.74,14.9,15.54,1.1,0.0,1.53,4.29,1.04,7.48
1932,-999,-999,-999,3.39,8.65,25.04,20.07,2.4,0.0,0.4,3.9,6.69,0.31,2.1,2.02,1.27,10.43,3.36,6.53,0.01,1.02,0.0,0.02,0.97,3.33,6.48,1.28,7.41,1.91,5.4,0.0,0.12,3.64,5.63,0.01,1.31,11.53,1.64,0.55,0.0,7.22,5.38,1.56,18.42,8.97,5.11,0.0,0.61,0.41,1.28,0.47
1933,-999,-999,-999,4.72,8.49,36.91,21.96,3.22,0.0,0.03,1.46,5.82,3.67,4.62,5.77,5.4,24.08,4.15,1.92,0.11,0.0,0.0,0.81,2.43,6.38,5.27,4.36,3.25,5.65,10.62,0.0,1.2,7.25,11.44,0.55,3.08,20.74,3.25,1.61,0.0,4.48,18.02,2.08,22.42,14.13,1.57,1.0,3.7,0.86,0.99,3.88
1934,-999,-999,-999,3.18,34.93,41.22,22.25,10.81,0.0,0.4,0.0,4.68,19.83,3.42,17.78,10.11,50.04,5.87,8.99,0.01,1.47,0.0,3.44,4.67,37.74,9.51,3.68,1.46,6.61,30.65,0.0,0.26,19.71,4.52,0.09,5.83,53.52,2.59,1.95,0.0,4.7,18.18,8.17,39.72,14.27,1.66,0.0,2.22,3.41,2.97,3.25
1935,-999,-999,-999,3.81,12.28,27.78,25.53,4.91,0.0,0.03,0.33,3.24,1.97,2.89,0.9,0.66,23.49,4.19,3.77,0.01,0.0,0.58,0.03,0.7,3.7,7.32,2.71,1.86,2.6,12.66,0.0,0.1,6.0,3.67,0.01,0.15,17.36,3.86,0.18,0.0,2.82,13.09,3.19,13.23,9.28,0.21,0.0,1.49,0.0,0.11,3.48
1936,-999,-999,-999,9.26,40.94,40.17,32.13,8.41,0.5,3.45,0.15,9.74,25.49,4.47,25.96,19.04,51.73,25.39,8.66,0.08,0.98,0.0,5.77,8.91,43.65,13.57,10.44,3.09,17.48,37.05,0.33,2.74,10.38,7.17,2.07,9.46,57.19,1.91,3.86,0.0,7.72,34.41,12.99,23.99,15.4,3.8,0.0,2.1,8.18,3.17,8.03
1937,-999,-999,-999,1.94,8.82,36.04,29.82,7.02,0.0,0.03,0.05,0.56,2.98,1.68,0.58,0.36,27.26,0.31,2.25,0.14,0.0,0.0,0.0,0.7,2.92,4.63,4.32,1.48,4.27,16.74,0.0,0.35,7.92,4.93,0.17,0.39,20.78,1.56,0.01,0.0,1.58,15.54,1.0,31.73,12.57,0.29,0.0,1.08,0.52,0.12,2.99
1938,-999,-999,-999,3.52,15.27,43.63,27.92,4.85,0.0,0.03,2.15,3.7,1.67,1.37,0.92,0.41,21.09,0.22,4.16,0.01,0.0,0.0,0.0,0.3,7.45,6.28,0.39,0.55,1.04,11.95,0.0,0.11,3.61,2.1,0.01,0.0,14.53,4.45,0.01,0.0,1.45,8.26,1.43,18.54,7.82,0.14,0.0,3.86,0.0,0.08,0.55
1939,-999,-999,-999,0.81,15.48,35.16,33.22,5.3,0.0,0.03,0.1,3.03,3.13,5.59,3.77,3.44,28.87,3.36,9.32,0.01,0.0,0.0,0.11,0.45,8.96,2.22,3.11,1.0,2.06,12.51,0.0,0.06,6.66,5.81,0.01,1.11,24.85,5.91,0.04,0.0,3.65,8.81,2.03,26.39,13.56,0.08,0.0,4.34,0.5,0.06,3.47
