Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,105.83,1.43,3.03,2.02,2.84,22.22,33.41,9.0,0.0,0.86,63.05,30.09,39.61,33.69,15.35,14.11,0.15,28.67,9.59,59.77,68.08,109.28,20.46,0.84,56.87,1.84,118.29,35.87,58.93,11.91,0.92,11.11,52.02,36.05,11.3,12.64,32.63,19.69,0.55,75.29,5.72,2.09,17.77,9.19,58.07,24.88,87.83,21.61,40.67
1951,116.53,1.76,5.43,6.05,2.41,29.03,29.76,8.0,0.0,0.61,66.84,35.5,36.44,28.93,21.8,15.17,2.4,24.44,12.18,50.34,60.54,102.7,26.3,3.39,68.86,2.47,110.03,42.84,54.23,13.09,7.61,14.84,46.48,32.99,9.0,5.82,30.86,19.0,0.01,70.3,6.46,5.69,21.05,12.46,52.2,18.42,85.57,17.34,52.95
1952,104.71,0.21,0.25,6.93,3.38,35.7,26.42,1.0,0.0,0.0,47.59,35.63,21.26,16.04,17.99,6.41,0.0,16.58,3.76,42.1,43.9,89.07,13.45,0.17,55.38,0.55,98.98,36.83,51.58,4.91,5.88,15.75,40.71,18.95,6.69,7.55,19.65,10.64,0.01,70.63,1.71,0.93,26.72,4.5,46.83,20.86,66.55,10.96,55.12
1953,105.84,0.22,0.77,3.5,0.58,20.07,20.86,1.0,0.0,0.0,39.32,11.3,17.44,14.98,7.41,6.11,0.0,16.94,2.91,37.48,37.1,82.13,8.44,0.13,23.65,0.67,71.12,20.17,42.82,4.64,3.48,4.88,31.79,15.76,2.61,0.57,16.53,8.56,0.01,45.11,2.11,0.96,10.34,4.09,37.31,0.88,61.06,8.94,33.72
1954,114.09,0.22,1.77,1.54,1.17,14.95,30.93,6.0,0.0,0.01,33.87,19.9,16.5,17.85,10.37,7.79,0.0,28.38,10.89,46.69,44.3,75.64,10.24,0.44,40.17,1.27,65.94,19.89,56.94,12.94,2.68,4.91,45.87,21.37,4.77,3.65,27.68,18.46,0.01,43.03,2.09,1.23,10.58,9.05,55.38,11.5,60.9,17.49,33.12
1955,123.65,0.98,1.32,6.67,2.93,32.36,45.68,11.0,0.0,0.34,61.55,49.67,32.68,31.09,21.28,13.84,0.0,39.1,14.9,72.19,65.0,109.25,19.69,0.63,76.32,0.93,112.38,52.68,77.25,17.25,3.86,22.39,61.31,34.18,1.39,7.05,37.81,27.12,0.13,78.38,3.64,0.09,29.28,10.56,76.65,21.88,86.27,23.15,67.01
1956,128.32,0.0,1.69,3.39,2.11,27.45,31.35,2.0,0.0,0.0,49.2,39.58,23.81,19.48,19.59,5.85,0.0,27.21,6.64,54.36,55.29,90.87,15.89,0.08,49.09,0.42,88.24,31.5,62.63,9.76,3.81,10.81,49.01,25.37,9.46,11.09,26.3,15.45,0.01,60.16,0.82,1.91,16.15,5.42,59.55,20.35,72.56,15.7,52.52
1957,92.83,1.31,1.1,1.54,2.6,21.85,30.33,7.0,0.0,0.24,39.47,35.97,21.71,20.63,16.24,8.84,0.0,25.71,8.68,47.48,49.98,82.78,13.07,0.6,49.14,2.25,82.64,24.66,53.44,13.51,2.18,8.25,43.18,22.56,9.0,12.78,23.23,15.98,0.41,47.95,3.11,1.69,15.26,6.44,48.52,21.51,66.39,10.24,47.07
1958,102.85,3.9,5.84,2.08,0.87,20.76,48.74,20.0,0.0,1.57,59.66,15.25,42.95,42.36,28.89,27.47,0.0,43.88,24.92,58.04,60.19,79.26,28.36,3.49,41.78,5.67,87.25,43.77,68.96,32.11,2.95,3.81,61.64,45.24,12.23,3.6,46.55,35.09,1.19,56.6,12.91,1.71,7.72,19.04,67.1,7.1,69.53,38.67,42.5
1959,116.62,1.87,2.31,1.5,0.9,17.06,36.87,6.0,0.0,0.22,55.96,18.1,30.88,26.3,17.77,10.84,0.0,34.56,12.05,60.76,60.75,84.43,19.88,0.79,46.94,2.41,90.28,30.88,59.23,13.18,3.62,5.39,52.4,25.63,8.39,6.01,28.43,22.41,0.23,59.31,4.63,2.51,8.25,10.29,66.54,13.93,76.56,16.61,44.49
