Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,0.0,38.95,32.3,91.62,71.57,19.92,2.56,11.0,91.2,42.46,2.64,17.57,5.44,3.67,22.89,2.01,61.43,2.76,8.44,1.0,1.12,3.38,7.49,42.84,5.43,25.63,16.63,2.92,7.84,53.99,49.72,0.89,2.4,42.7,18.93,1.61,0.99,43.19,14.55,10.94,84.87,41.27,4.06,0.77,14.72,1.21,0.39,8.58
1951,0.0,83.48,75.41,89.08,68.4,28.57,2.57,12.0,99.08,73.51,4.77,18.0,10.35,14.16,34.25,26.1,96.32,0.9,17.41,0.0,1.37,1.21,18.96,91.97,11.46,44.28,16.78,0.58,8.84,77.19,43.12,1.4,9.17,76.32,16.95,4.23,0.15,66.6,12.01,52.97,109.06,45.36,12.94,0.17,17.81,0.32,9.88,10.56
1952,0.0,79.8,97.24,96.07,70.49,42.86,8.19,30.0,92.41,74.38,17.84,17.96,39.94,41.57,82.63,56.33,95.12,10.32,27.68,13.03,11.6,4.2,61.07,91.47,11.39,48.62,49.55,9.73,19.59,75.49,42.26,8.26,28.66,102.24,20.32,19.17,9.27,70.99,33.19,66.15,104.83,41.36,20.32,6.61,20.38,8.32,20.0,16.85
1953,0.33,81.04,101.29,83.95,58.24,35.83,13.16,29.0,73.04,61.25,27.32,18.86,49.24,47.06,78.77,56.41,99.7,13.31,32.24,6.01,14.05,5.66,75.01,92.27,13.72,49.82,49.72,10.82,20.98,77.86,49.88,12.66,28.33,107.47,11.69,17.9,8.04,69.33,24.4,69.91,111.29,48.93,25.74,7.89,14.25,12.21,27.07,20.28
1954,0.0,108.26,109.19,93.05,62.01,44.25,2.52,30.0,79.27,99.63,24.64,15.68,48.61,45.15,89.92,56.76,111.45,1.63,24.39,1.25,4.55,3.69,77.15,108.99,15.32,57.05,51.06,2.41,12.75,77.35,46.55,3.38,19.13,113.93,4.27,7.21,0.99,93.08,26.44,84.21,119.49,51.12,24.82,0.42,6.26,4.85,10.56,24.97
1955,0.24,60.49,71.3,80.82,63.82,33.95,11.51,32.0,85.72,62.24,40.09,25.36,41.51,37.01,72.76,44.75,76.63,16.45,26.85,9.51,21.65,12.51,50.53,65.15,16.65,30.95,59.45,15.96,22.31,64.75,51.47,14.12,24.39,85.78,15.68,19.19,10.11,53.79,42.21,48.87,106.51,42.82,16.53,9.39,14.78,19.42,16.67,21.19
1956,0.0,69.41,86.09,96.31,62.12,36.92,5.69,19.0,75.94,67.82,26.45,17.83,22.45,14.64,93.14,28.62,86.81,4.13,19.36,0.74,4.19,5.2,53.71,76.73,11.81,39.13,53.7,3.03,9.1,90.22,40.77,1.91,6.58,122.07,16.65,2.77,4.09,70.96,25.71,47.13,128.58,50.0,16.92,1.31,15.02,5.35,1.71,15.98
1957,0.0,59.67,51.45,77.53,59.46,23.69,10.42,37.0,67.28,55.75,18.16,14.47,20.92,12.79,52.24,32.59,75.35,7.24,28.56,2.0,4.57,4.26,36.29,54.1,12.46,38.08,32.93,5.86,20.02,62.98,47.51,2.99,11.79,70.7,8.97,7.25,5.97,54.47,21.08,37.82,86.16,40.32,19.73,1.86,6.01,3.84,15.75,14.94
1958,0.16,51.85,57.1,98.33,71.73,32.42,1.7,13.0,90.0,64.82,9.16,30.47,8.99,3.46,46.27,10.97,75.95,0.97,9.58,0.0,0.72,5.35,21.5,52.75,13.25,28.31,25.93,1.33,6.79,70.3,51.08,0.4,1.2,86.61,29.62,0.6,0.15,54.52,27.77,31.35,96.68,57.0,7.65,0.5,35.29,3.03,0.77,13.58
1959,0.0,57.73,51.85,88.0,69.97,36.16,7.68,32.0,74.86,59.49,15.56,22.36,27.67,21.19,56.46,25.31,78.19,7.86,24.81,4.0,8.16,12.43,32.56,54.03,14.41,26.57,42.52,8.33,20.3,66.38,59.29,5.5,16.69,81.15,19.14,11.59,4.33,48.76,45.86,33.27,91.11,52.39,16.88,6.9,14.38,4.01,16.84,21.18
1960,0.0,65.73,64.5,94.99,74.77,41.7,1.51,11.0,69.31,68.12,12.76,27.58,19.93,12.72,52.02,24.0,87.36,0.85,10.86,1.0,2.56,6.8,35.14,69.27,21.46,24.64,34.44,1.74,7.11,61.69,59.38,0.98,4.48,71.77,22.82,0.6,0.15,60.18,33.2,40.95,100.37,60.86,10.2,1.05,18.33,4.23,1.21,22.14
1961,0.0,27.12,44.4,88.86,70.16,27.36,4.57,21.0,92.42,43.41,9.73,31.92,15.98,10.38,43.86,10.63,42.64,3.81,17.84,1.24,2.3,9.34,17.48,35.76,27.75,24.72,33.15,4.37,14.16,65.79,53.7,1.36,4.34,59.16,26.56,0.68,1.41,42.74,33.03,23.21,75.39,50.69,9.29,0.5,28.62,3.62,1.12,19.9
