Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,-999,-999,-999,-999,-999,0.0,-999,0.7,-999,-999,-999,-999,0.18,0.7,0.23,0.0,0.0,-999,-999,-999,-999,0.26,0.02,2.23,0.17,-999,1.66,0.0,1.33,0.25,0.06,-999,0.11,0.34,0.18,0.0,-999,2.16,0.0,-999,-999,0.39,-999,-999,1.37,-999,0.0,0.0,0.95,0.0,-999
1931,-999,-999,-999,-999,-999,0.0,-999,0.12,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.01,0.0,-999,0.04,0.0,0.07,0.0,0.0,-999,0.0,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.0,-999,-999,0.02,-999,0.0,0.0,0.01,0.0,-999
1932,-999,-999,-999,-999,-999,0.0,-999,0.61,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.17,0.0,-999,0.82,0.0,0.13,0.06,0.0,-999,0.11,0.67,0.17,0.0,-999,0.0,0.0,-999,-999,0.11,-999,-999,1.38,-999,0.0,0.0,0.13,0.0,-999
1933,-999,-999,-999,-999,-999,0.0,-999,0.65,-999,-999,-999,-999,0.0,1.15,0.0,0.0,0.0,-999,-999,-999,-999,1.39,0.23,4.17,0.0,-999,1.4,0.0,3.49,0.1,1.11,-999,0.71,0.34,0.9,0.0,-999,0.5,0.0,-999,-999,0.67,-999,-999,0.76,-999,0.66,0.24,1.23,0.0,-999
1934,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,3.06,1.15,1.11,0.0,-999,0.1,0.0,0.45,0.0,0.81,-999,0.2,0.0,0.99,0.0,-999,0.0,0.0,-999,-999,0.06,-999,-999,0.02,-999,0.7,0.0,0.22,0.0,-999
1935,-999,-999,-999,-999,-999,0.0,-999,0.25,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.85,0.1,2.14,0.0,-999,1.15,0.0,2.31,0.0,0.53,-999,0.04,0.0,0.82,0.0,-999,0.0,0.0,-999,-999,0.07,-999,-999,0.02,-999,0.47,0.16,1.59,0.0,-999
1936,-999,-999,-999,-999,-999,0.0,-999,0.26,-999,-999,-999,-999,0.16,0.08,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.14,8.68,0.0,-999,6.34,0.0,11.35,0.2,0.09,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,3.18,-999,-999,0.01,-999,0.0,0.16,3.26,0.0,-999
1937,-999,-999,-999,-999,-999,0.5,-999,0.89,-999,-999,-999,-999,0.0,1.14,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,3.09,0.0,-999,2.33,0.0,2.91,0.0,0.0,-999,0.04,2.01,0.01,0.0,-999,0.5,0.0,-999,-999,0.13,-999,-999,2.73,-999,0.0,0.16,0.6,0.0,-999
1938,-999,-999,-999,-999,-999,0.0,-999,0.01,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.07,1.51,0.0,-999,0.3,0.0,1.26,0.0,0.18,-999,0.04,0.0,0.14,0.0,-999,0.0,0.0,-999,-999,0.03,-999,-999,0.02,-999,0.27,0.0,0.45,0.0,-999
1939,-999,-999,-999,-999,-999,0.0,-999,0.24,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.03,2.2,0.0,-999,1.51,0.0,3.41,0.0,0.12,-999,0.04,0.0,0.14,0.0,-999,0.0,0.0,-999,-999,0.4,-999,-999,0.02,-999,0.0,0.0,0.55,0.0,-999
