Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,52.94,0.11,0.07,1.73,3.23,19.43,6.06,0.0,-999,0.0,27.07,12.89,7.6,4.83,5.74,1.19,0.0,9.16,0.52,25.24,9.44,65.68,2.98,0.0,37.22,0.12,80.52,21.41,23.75,1.12,0.72,6.57,15.85,3.19,0.0,5.07,6.4,3.46,0.0,46.69,0.73,0.0,9.29,0.29,21.46,14.32,42.54,0.99,28.1
1951,64.24,0.11,1.3,4.61,1.33,24.82,3.4,0.0,-999,0.0,28.91,9.52,11.94,7.81,7.46,3.16,0.5,4.42,0.67,25.41,11.92,58.4,7.38,1.68,41.27,0.11,75.85,18.54,22.86,1.16,7.25,5.23,15.35,8.01,1.39,1.26,4.09,0.49,0.0,46.7,1.48,1.06,8.39,0.81,17.92,2.93,39.5,3.43,32.13
1952,57.68,0.0,0.0,6.18,2.67,25.98,1.89,0.0,-999,0.0,10.58,11.29,1.32,0.3,3.37,0.0,0.0,2.02,0.1,14.14,4.1,34.1,0.35,0.0,26.09,0.0,44.2,11.23,15.92,0.39,8.08,7.37,7.67,0.32,0.0,1.3,0.61,1.59,0.0,27.54,0.0,0.0,13.1,0.19,15.14,1.86,17.03,0.41,34.15
1953,58.8,0.0,0.0,2.65,0.01,14.22,0.63,0.0,-999,0.0,8.43,1.85,2.82,1.81,1.17,0.76,0.0,0.53,0.02,10.94,3.2,33.09,0.67,0.0,6.92,0.02,29.9,4.06,10.58,0.15,1.32,0.68,6.16,1.38,0.0,0.0,0.0,0.11,0.0,14.88,0.0,0.0,3.05,0.19,9.83,0.0,20.08,0.0,13.64
1954,67.89,0.0,0.02,2.74,0.47,14.67,4.54,0.0,-999,0.0,8.93,4.35,1.77,0.95,2.24,1.08,0.0,5.19,0.39,20.01,7.02,30.22,1.1,0.0,21.78,0.03,37.65,7.97,21.47,1.7,1.19,2.59,14.82,1.1,0.0,0.66,1.9,3.42,0.0,20.5,0.0,0.0,3.23,0.42,21.95,1.66,15.05,0.84,16.83
1955,68.85,0.0,0.0,6.13,0.99,23.25,6.12,0.0,-999,0.0,19.15,14.64,6.36,7.41,2.68,1.96,0.0,5.8,0.85,27.63,9.27,60.45,2.6,0.0,38.93,0.04,75.79,15.51,23.52,1.96,1.21,9.93,18.85,6.19,0.0,1.36,5.35,4.19,0.0,40.92,0.08,0.0,16.57,0.97,24.03,2.81,33.84,4.54,35.96
1956,81.26,0.0,0.0,4.1,3.27,22.68,1.09,0.0,-999,0.0,13.43,12.6,1.81,1.65,3.18,0.0,0.0,3.51,0.21,15.79,5.95,47.81,0.97,0.0,24.67,0.01,54.65,9.37,19.01,0.26,0.01,6.44,12.79,1.88,0.0,2.35,0.76,0.11,0.0,31.92,0.0,0.0,7.11,0.33,16.04,4.25,27.14,1.0,27.53
1957,46.2,0.0,0.0,1.07,3.55,16.11,4.92,1.0,-999,0.0,13.12,13.64,5.53,3.61,3.21,0.58,0.0,7.71,1.9,26.71,7.14,45.52,1.25,0.0,28.34,0.14,45.07,10.62,23.85,2.43,0.94,5.95,13.72,3.26,0.0,4.53,4.27,5.67,0.0,26.44,0.0,0.0,6.27,0.38,23.19,8.47,27.55,2.36,25.16
1958,49.35,1.09,0.23,1.67,0.01,14.45,6.46,0.0,-999,0.04,25.56,4.05,12.49,10.38,2.34,3.55,0.0,10.26,1.5,35.53,14.65,43.91,5.58,0.13,14.73,0.6,45.1,12.64,30.07,2.14,1.78,1.37,27.1,10.3,0.61,0.0,9.53,4.23,0.06,26.72,2.82,0.0,2.23,0.83,37.21,0.0,32.55,5.54,14.69
1959,64.73,0.0,0.3,1.94,0.39,17.88,3.09,0.0,-999,0.0,21.61,5.04,8.83,5.0,5.34,2.38,0.0,6.97,0.83,31.9,15.12,45.24,4.11,0.0,27.86,0.06,47.23,13.43,28.73,0.96,2.75,3.76,19.25,4.76,1.61,0.85,3.35,0.49,0.0,31.49,0.53,0.35,3.27,1.19,28.62,1.42,35.47,3.5,22.41
1960,48.91,0.0,0.01,6.11,1.19,24.75,2.82,0.0,-999,0.0,23.85,10.41,8.42,7.71,7.92,4.08,0.0,5.67,1.59,24.09,11.49,48.68,4.79,0.0,26.56,0.23,60.43,22.9,22.7,1.63,5.32,4.81,20.26,7.03,0.61,1.65,7.89,0.87,0.0,39.77,0.47,0.35,9.06,2.46,18.89,1.55,23.85,5.61,29.18
1961,71.62,0.0,0.07,3.0,0.11,15.76,12.87,4.0,-999,0.0,18.96,5.09,9.52,8.31,4.71,3.09,0.0,18.17,3.85,31.16,12.59,31.86,5.4,0.0,13.76,0.09,43.66,13.97,31.06,5.37,2.96,3.35,24.13,8.27,0.0,0.46,8.17,9.84,0.0,26.48,0.46,0.0,5.21,2.4,31.15,0.64,24.53,4.96,16.97
1962,53.77,1.31,2.2,3.95,4.26,25.41,8.83,0.0,-999,0.36,26.24,10.08,12.7,8.7,10.24,5.62,1.5,14.28,0.96,43.22,17.85,47.56,9.04,2.75,29.14,0.66,55.03,22.43,36.01,1.61,5.78,11.13,25.87,9.95,1.61,1.96,9.87,4.19,0.11,36.64,4.62,0.33,11.76,1.78,36.17,2.33,35.92,7.15,28.44
1963,49.87,1.14,1.23,4.92,1.19,24.33,11.04,0.0,-999,0.29,40.04,9.7,28.48,26.99,13.25,9.03,0.0,16.62,2.82,43.33,30.21,54.15,16.54,0.83,28.23,0.39,54.65,25.65,35.41,4.28,7.72,6.17,28.27,22.59,3.23,1.78,17.67,3.85,0.0,41.56,3.73,0.46,10.14,4.38,33.1,2.48,49.79,10.91,27.07
1964,75.48,0.21,0.14,5.36,0.01,20.36,3.77,0.0,-999,0.0,12.56,8.83,2.88,2.23,3.0,1.12,0.0,8.06,1.28,22.76,6.05,45.14,2.36,0.0,23.2,0.05,56.81,10.19,21.41,1.27,8.75,5.56,15.51,2.04,0.0,1.25,5.1,1.98,0.0,29.53,0.45,0.13,8.78,1.49,19.05,2.08,20.9,2.16,27.52
1965,63.96,0.0,0.02,2.5,0.63,18.12,5.58,0.0,-999,0.0,20.81,5.2,7.02,8.77,2.43,4.31,0.0,9.58,1.19,24.15,12.25,49.81,3.89,0.0,30.5,0.1,61.64,15.71,25.84,2.19,4.14,4.33,16.26,7.17,0.0,0.1,7.08,7.16,0.0,36.9,0.7,0.0,4.46,1.56,21.64,0.0,29.77,5.36,25.5
