Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,131.67,-999,-999,5.8,12.2,46.06,12.59,109.55,47.39,20.98,0.0,2.68,69.48,71.65,48.22,42.54,50.52,31.29,3.34,47.43,54.13,101.08,78.95,108.19,38.43,4.55,88.98,22.49,121.35,70.76,88.87,39.62,76.4,82.86,72.96,44.83,22.85,31.28,52.35,53.0,3.95,91.58,21.03,12.88,84.81,35.94,77.94,31.03,92.52,47.3,-999
1931,118.16,-999,-999,1.87,3.49,44.14,10.32,101.21,45.92,8.36,0.0,1.4,39.46,76.47,16.9,14.46,30.31,9.22,0.04,46.06,25.6,79.41,50.42,77.88,11.12,1.29,85.33,9.75,104.07,58.33,81.01,26.5,55.54,74.51,57.43,20.87,5.76,23.96,37.1,41.0,2.44,82.64,7.59,2.94,79.24,14.09,80.93,19.44,55.31,27.58,-999
1932,123.21,-999,-999,2.92,10.61,43.57,17.33,107.25,40.78,19.98,0.0,2.11,78.43,87.25,46.45,37.39,58.09,20.38,1.29,43.5,26.33,94.15,67.46,120.86,38.44,3.91,92.63,9.75,128.41,86.45,89.05,27.42,75.16,90.59,63.31,36.3,22.67,28.41,43.46,37.0,2.19,105.39,14.28,10.08,83.9,20.0,77.92,33.03,93.07,30.76,-999
1933,128.41,-999,-999,2.59,8.69,45.74,16.2,96.79,40.78,21.83,0.0,2.78,64.32,77.89,33.36,28.5,40.05,20.13,1.64,43.17,26.69,105.39,72.81,115.91,23.74,3.43,88.67,11.25,126.87,67.24,96.86,29.93,64.05,89.68,67.55,31.14,10.22,20.78,43.27,39.0,4.41,92.4,13.46,6.3,81.26,19.54,90.37,20.84,91.74,33.1,-999
1934,115.54,-999,-999,5.51,9.3,27.85,5.15,80.39,65.1,39.43,0.43,6.93,73.84,33.77,43.54,42.18,37.87,26.79,0.52,70.15,45.76,101.78,81.16,105.17,30.53,4.39,66.75,21.18,112.33,66.39,99.6,51.71,51.6,40.29,82.75,53.5,13.73,6.85,66.14,71.0,9.3,88.66,18.18,4.93,45.66,34.97,91.02,6.35,91.42,49.73,-999
1935,129.55,-999,-999,8.48,12.02,33.64,12.95,94.44,59.12,35.1,0.0,6.27,62.35,81.38,41.94,42.46,32.1,27.42,1.91,59.12,39.93,103.24,79.03,111.54,26.19,8.4,103.2,25.48,137.49,59.28,94.06,45.05,50.2,73.32,75.97,46.26,13.95,24.03,55.29,57.0,14.31,93.6,24.04,4.98,72.75,32.44,89.78,23.38,90.73,42.16,-999
1936,114.72,-999,-999,7.36,19.09,34.27,11.21,102.36,61.69,36.95,0.0,6.32,90.41,92.87,56.3,49.58,57.38,32.98,2.25,61.65,45.01,99.15,85.3,131.12,43.46,8.89,102.99,18.84,133.14,87.75,93.56,47.37,68.47,72.54,76.88,53.91,32.69,29.78,62.31,58.0,8.34,110.75,22.81,12.56,70.1,33.48,89.93,36.51,108.99,48.31,-999
1937,118.05,-999,-999,4.42,10.0,38.55,15.17,103.85,35.95,15.47,0.13,4.93,95.09,81.73,58.26,47.31,62.8,23.96,0.78,38.77,26.46,96.99,84.12,127.69,47.14,4.88,99.09,14.17,133.34,86.87,96.7,24.61,71.92,62.96,68.3,44.59,25.88,27.68,47.22,38.0,6.38,112.05,15.07,9.74,69.02,22.71,73.75,34.75,108.53,36.92,-999
1938,112.75,-999,-999,4.26,11.39,31.56,10.27,95.89,53.25,22.2,0.0,3.01,66.28,64.91,34.52,30.98,44.56,22.48,0.53,55.26,29.25,96.15,69.95,109.94,27.56,4.04,89.14,10.91,122.08,70.11,87.47,35.29,63.46,69.4,69.71,35.98,18.37,18.09,46.28,59.0,4.53,94.21,15.47,7.44,61.13,21.11,76.64,18.31,83.78,37.47,-999
1939,124.45,-999,-999,1.17,6.19,33.03,9.46,100.16,54.28,22.01,0.0,0.95,70.6,68.73,36.99,29.93,41.42,14.26,0.0,57.11,28.8,113.48,74.16,112.98,27.48,0.46,84.45,9.65,119.94,70.41,110.14,34.74,70.39,72.09,79.17,36.53,16.93,16.75,45.2,52.0,1.66,93.0,7.81,6.27,71.68,17.0,100.22,12.7,87.85,37.84,-999
