Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,148.6,149.16,-999.0,-999.0,24.65,-999.0,-999.0,224.71,151.28,73.44,13.51,94.29,102.71,101.07,123.65,181.91,-999.0,-999.0,28.41,47.11,43.34,113.13,174.53,7.9,120.2,69.77,-999.0,90.12,-999.0,-999.0,56.37,86.8,-999.0,3.13,67.02,-999.0,157.1,45.13,137.73,138.62,18.9,91.13,-999.0,5.74,48.12,79.01,-999.0
1901,-999.0,113.56,120.0,-999.0,-999.0,32.1,-999.0,-999.0,193.39,125.85,65.6,9.19,75.92,78.68,96.19,92.0,140.56,-999.0,-999.0,34.46,43.68,38.49,96.12,133.31,10.76,96.06,62.91,-999.0,80.75,85.0,-999.0,53.76,76.11,-999.0,4.28,54.42,-999.0,129.75,38.67,95.76,138.58,29.88,70.23,-999.0,1.81,46.6,69.86,-999.0
1902,-999.0,135.17,128.27,-999.0,-999.0,20.86,-999.0,-999.0,232.83,143.9,55.41,2.92,77.2,74.91,84.07,98.77,176.38,-999.0,-999.0,15.0,26.01,20.7,95.01,156.85,2.43,103.57,49.57,-999.0,64.91,99.36,-999.0,34.66,59.73,-999.0,1.2,44.65,-999.0,144.3,21.79,115.66,166.28,15.2,56.92,-999.0,1.56,34.16,53.24,-999.0
1903,-999.0,127.08,117.7,-999.0,-999.0,22.3,-999.0,-999.0,219.65,134.18,42.89,2.82,72.51,72.24,75.12,98.01,164.36,-999.0,-999.0,13.15,24.08,17.21,85.97,146.84,1.85,100.2,40.97,-999.0,68.63,75.06,-999.0,28.38,54.29,98.0,0.96,39.63,-999.0,137.17,23.73,110.56,139.1,17.84,63.32,-999.0,4.29,30.09,42.44,-999.0
1904,-999.0,130.85,135.88,-999.0,-999.0,15.58,-999.0,-999.0,217.17,130.2,40.1,5.91,62.42,63.38,76.47,94.09,164.93,-999.0,-999.0,20.69,21.69,14.01,83.79,154.46,2.09,92.74,37.61,-999.0,70.2,75.46,-999.0,36.94,51.82,113.0,3.6,39.66,-999.0,122.42,17.8,107.92,156.93,25.62,65.75,-999.0,8.43,23.44,35.0,-999.0
1905,-999.0,147.67,146.09,-999.0,-999.0,24.1,-999.0,-999.0,233.29,157.11,61.39,8.42,83.64,86.68,91.66,107.2,188.82,-999.0,-999.0,19.51,34.12,24.4,100.26,166.09,4.47,116.1,51.55,-999.0,75.76,66.07,-999.0,45.23,68.54,120.0,5.73,54.28,-999.0,154.71,24.37,129.82,167.96,28.87,75.92,-999.0,9.98,34.5,56.09,-999.0
1906,-999.0,143.63,131.8,-999.0,-999.0,15.88,-999.0,-999.0,221.16,159.95,63.61,11.16,80.73,87.48,76.99,113.27,175.97,-999.0,-999.0,24.27,45.8,28.98,97.14,153.52,5.63,125.13,40.68,-999.0,94.68,46.51,-999.0,53.95,72.15,-999.0,8.35,56.62,-999.0,157.84,25.85,126.14,152.3,27.54,83.55,-999.0,13.1,46.99,66.07,-999.0
1907,-999.0,135.16,128.53,-999.0,-999.0,26.99,-999.0,-999.0,218.98,148.62,56.6,5.02,71.93,67.69,82.45,88.14,192.19,-999.0,-999.0,18.19,30.46,22.64,91.59,149.01,2.46,96.6,46.56,-999.0,66.87,30.6,-999.0,30.88,54.12,-999.0,1.97,34.41,-999.0,139.3,22.89,107.32,164.49,19.89,53.9,-999.0,5.81,33.87,41.39,-999.0
1908,-999.0,136.73,150.03,-999.0,-999.0,23.08,-999.0,-999.0,229.26,148.02,56.29,8.7,81.55,76.58,80.99,102.01,187.86,-999.0,-999.0,28.96,41.89,30.66,102.88,164.65,8.08,100.21,48.2,-999.0,76.44,43.65,-999.0,44.56,58.1,116.0,5.07,45.06,-999.0,146.63,30.23,120.08,169.92,24.11,62.72,-999.0,10.91,39.24,46.41,-999.0
1909,-999.0,135.77,132.3,-999.0,-999.0,32.08,-999.0,-999.0,222.31,139.59,64.22,8.23,75.17,78.6,84.19,96.54,172.24,-999.0,-999.0,15.76,34.18,34.43,95.79,154.67,8.18,101.27,62.04,-999.0,58.88,53.43,-999.0,28.83,60.54,104.0,0.73,37.4,-999.0,133.16,41.52,117.3,163.07,31.41,54.56,-999.0,4.32,39.98,42.4,-999.0
1910,-999.0,137.03,131.09,-999.0,-999.0,24.47,-999.0,85.0,186.36,139.9,56.83,6.8,73.61,73.4,80.54,95.1,166.46,-999.0,-999.0,13.6,39.29,27.07,88.15,149.82,10.8,108.95,53.06,-999.0,72.2,59.59,-999.0,33.36,59.66,113.93,3.07,43.54,-999.0,143.94,30.08,109.46,158.4,26.73,59.75,-999.0,6.26,40.08,49.0,-999.0
